smplNm,mcp_ddPCR,mcp_qPCR,sdmn_ddPCR,sdmn_qPCR,sdmx_ddPCR,sdmx_qPCR,smplTp,qlod,f2,mcp_ddPCR_lod,spcAbbr
MST2021-030,0.5075150355696699,0,0.13753225095570099,0,1.2632860243320452,0,MST,1,0.2959290222343733,0.2,Promin
MST2021-031,0,0,0,0,0.709865763783455,0,MST,1,0.2959290222343733,0.2,Promin
MST2021-032,0,0,0,0,0.753363594412805,0,MST,1,0.2959290222343733,0.2,Promin
MST2021-039,0.52982237190008,0,0.14357714913785452,0,1.318816393613815,0,MST,1,0.2959290222343733,0.2,Promin
MST2021-040,0,0.02980991683974253,0,0.020433396962375894,0.78924745321274,0.03918643671710917,MST,1,0.2959290222343733,0.2,Promin
MST2021-043,0,0,0,0,0.8976321667432801,0,MST,1,0.2959290222343733,0.2,Promin
MST2021-044,0.627417489886285,0,0.17002353444695448,0,1.561766266822815,0,MST,1,0.2959290222343733,0.2,Promin
MST2021-049,0,0,0,0,0.673417672514915,0,MST,1,0.2959290222343733,0.2,Promin
MST2021-051,10.2739107608795,0.7154906137577737,8.0943423509598,0.47595798346734397,12.8143334388733,0.9550232440482034,MST,1,0.2959290222343733,0.2,Promin
MST2021-052,0,0,0,0,0.72260521352291,0,MST,1,0.2959290222343733,0.2,Promin
MST2021-055,3.231765925884245,0.534645100170101,2.07728326320648,0.3935442169674822,4.75130945444107,0.6757459833727198,MST,1,0.2959290222343733,0.2,Promin
MST2021-058,19.63213682174685,3.0349165280258505,16.31794333457945,2.5469971283162764,23.3690285682678,3.5228359277354246,MST,1,0.2959290222343733,0.2,Promin
MST2021-062,0,0,0,0,0.70532701909542,0,MST,1,0.2959290222343733,0.2,Promin
MST2021-064,0.51774438470602,0.05949652992022075,0.1403042301535605,0.015811391278128382,1.28875032067299,0.10318166856231312,MST,1,0.2959290222343733,0.2,Promin
MST2021-070,0,0,0,0,0.848811343312265,0,MST,1,0.2959290222343733,0.2,Promin
MST2021-071,153.78511428833002,18.44953048618965,144.6503734588625,17.08874552124968,162.934055328369,19.810315451129622,MST,1,0.2959290222343733,0.2,Promin
MST2021-075,0.4893193766474725,0,0.1326015312224625,0,1.217991411685945,0,MST,1,0.2959290222343733,0.2,Promin
MST2021-076,1.1587418615818,0.07323256870226624,0.50286591053009,7.632407975300126e-4,2.2278836369514448,0.14570189660700247,MST,1,0.2959290222343733,0.2,Promin
MST2021-079,0.54696664214134,0.04883157676891864,0.148222940042615,0.014372015728390385,1.36149436235428,0.08329113780944689,MST,1,0.2959290222343733,0.2,Promin
MST2021-081,1.27724528312683,0.22852296716987716,0.554290376603605,0.15120085860625782,2.4557501077652,0.3058450757334965,MST,1,0.2959290222343733,0.2,Promin
MST2021-082,5.56601762771605,0.8562213043314534,4.249364733695985,0.7825884122919051,7.13064670562745,0.9298541963710016,MST,1,0.2959290222343733,0.2,Promin
MST2021-083,133.214864730835,13.573277819816589,124.05091285705551,11.830113251480505,142.393102645874,15.316442388152673,MST,1,0.2959290222343733,0.2,Promin
MST2021-085,5.83972334861755,0.49551670723022284,4.17773187160492,0.34795938478858157,7.8937643766403,0.6430740296718641,MST,1,0.2959290222343733,0.2,Promin
MST2021-088,0,0,0,0,0.8548483252525351,0,MST,1,0.2959290222343733,0.2,Promin
MST2021-089,0,0,0,0,0.57548485696316,0,MST,1,0.2959290222343733,0.2,Promin
MST2021-099,5.3892379999161,0.6743893606696661,3.780932128429415,0.5601407700037426,7.4000889062881505,0.7886379513355897,MST,1,0.2959290222343733,0.2,Promin
NEKfeb2022,0,0,0,0,0.729148015379905,0,MST,1,0.2959290222343733,0.2,Promin
NTC,0,0,0,0,0.7759390771389001,0,MST,1,0.2959290222343733,0.2,Promin
stdE-1,0.560731440782545,0.009864300741145774,0.151952924206853,-0.005417408255829852,1.39575958251953,0.0251460097381214,STD,1,0.2959290222343733,0.2,Promin
stdE0,1.1193820834159849,0.2466075185286444,0.4857856407761575,0.125795001102819,2.15220108628273,0.3674200359544698,STD,1,0.2959290222343733,0.2,Promin
stdE1,0.757986307144165,2.959290222343733,0.20540464669466002,2.959290222343733,1.88680902123451,2.959290222343733,STD,1,0.2959290222343733,0.2,Promin
stdE2,32.9435873031616,29.592902223437328,28.5488486289978,29.592902223437328,37.770769596099846,29.592902223437328,STD,1,0.2959290222343733,0.2,Promin
stdE3,396.99893951416004,295.9290222343733,381.8800354003905,295.9290222343733,412.156753540039,295.9290222343733,STD,1,0.2959290222343733,0.2,Promin
stdE4,3961.488037109375,2959.2902223437327,3904.9612426757803,2959.2902223437327,4018.56384277344,2959.2902223437327,STD,1,0.2959290222343733,0.2,Promin
stdE5,15610.56884765625,29592.90222343733,15405.1416015625,29592.90222343733,15823.4313964844,29592.90222343733,STD,1,0.2959290222343733,0.2,Promin
