"C_bin","q98_bin","q2_bin","C_nor","q98_nor","q2_nor","Species","diff"
1.08,2.98,-1.73,-0.3,1.38,-1.98,"Psefar",-1.35
-0.34,1.78,-1.73,0.53,2.17,-1.12,"Psefar",-0.22
-0.74,1.37,-2.12,-0.21,1.44,-1.87,"Psefar",-0.18
0.25,4.47,-3.35,2.22,3.91,0.5,"Psefar",-4.41
-0.35,1.07,-2.46,-1.01,0.63,-2.68,"Psefar",-0.22
-0.38,1.39,-1.57,0.16,1.81,-1.46,"Psefar",0.31
-0.73,1.42,-2.15,-0.17,1.53,-1.84,"Psefar",-0.2
-0.23,2.97,-2.73,1.03,2.76,-0.73,"Psefar",-2.21
0.25,4.53,-3.35,2.23,3.96,0.52,"Psefar",-4.44
1.14,3.02,-1.68,-0.28,1.4,-1.98,"Psefar",-1.32
-0.54,0.85,-2.62,-1.15,0.58,-2.85,"Psefar",-0.04
1.54,3.52,-1.61,-0.14,1.57,-1.83,"Psefar",-1.73
-0.35,1.26,-1.54,0.03,1.72,-1.67,"Psefar",0.59
-0.34,1.19,-1.58,-0.03,1.69,-1.73,"Psefar",0.65
1.74,3.8,-1.51,-0.07,1.63,-1.76,"Psefar",-1.92
-0.71,1.48,-2.14,-0.15,1.55,-1.85,"Psefar",-0.22
-0.11,0.48,-0.79,-0.03,1.79,-1.82,"Psever",2.34
0.78,1.92,0,-0.7,1.07,-2.52,"Psever",1.67
-0.64,0.16,-1.79,0.95,2.78,-0.87,"Psever",1.7
-0.64,0.16,-1.79,0.95,2.74,-0.87,"Psever",1.66
-0.1,0.51,-0.78,0.09,1.89,-1.72,"Psever",2.32
-0.64,0.17,-1.82,0.96,2.78,-0.89,"Psever",1.68
-0.63,0.16,-1.75,0.95,2.77,-0.86,"Psever",1.72
-0.64,0.17,-1.83,0.96,2.77,-0.84,"Psever",1.61
-0.64,0.16,-1.8,0.96,2.77,-0.89,"Psever",1.7
-0.64,0.17,-1.79,0.94,2.76,-0.89,"Psever",1.69
-0.11,0.5,-0.78,0.02,1.83,-1.79,"Psever",2.34
-0.64,0.17,-1.78,0.96,2.75,-0.84,"Psever",1.64
-0.64,0.15,-1.81,0.96,2.76,-0.86,"Psever",1.66
-0.66,0.17,-1.84,0.95,2.77,-0.87,"Psever",1.63
-0.64,0.16,-1.79,0.95,2.75,-0.85,"Psever",1.65
-0.65,0.16,-1.83,0.96,2.76,-0.82,"Psever",1.59
-0.64,0.17,-1.79,0.96,2.75,-0.86,"Psever",1.65
-0.64,0.17,-1.78,0.96,2.77,-0.88,"Psever",1.7
-0.65,0.17,-1.81,0.97,2.77,-0.84,"Psever",1.63
0.72,1.78,-0.01,-0.99,0.76,-2.77,"Psever",1.74
-0.64,0.17,-1.83,0.96,2.76,-0.85,"Psever",1.61
-0.65,0.17,-1.85,0.95,2.78,-0.86,"Psever",1.62
-0.1,0.5,-0.77,0.17,1.95,-1.64,"Psever",2.32
0.69,1.73,-0.03,-1.14,0.63,-2.91,"Psever",1.78
-0.64,0.16,-1.81,0.96,2.8,-0.88,"Psever",1.71
0.75,1.85,-0.02,-0.91,0.87,-2.69,"Psever",1.69
-0.11,0.5,-0.8,0.03,1.8,-1.73,"Psever",2.23
0.78,1.85,0.03,-0.71,1.06,-2.47,"Psever",1.71
0.77,1.88,-0.01,-0.77,1.01,-2.52,"Psever",1.64
-0.64,0.16,-1.83,0.97,2.83,-0.9,"Psever",1.74
-0.64,0.16,-1.78,0.96,2.79,-0.88,"Psever",1.73
-0.64,0.15,-1.82,0.96,2.76,-0.86,"Psever",1.65
0.76,1.86,0,-0.81,0.94,-2.59,"Psever",1.67
0.65,1.62,-0.05,-1.35,0.43,-3.14,"Psever",1.9
0.7,1.73,-0.04,-1.1,0.7,-2.87,"Psever",1.8
-0.64,0.17,-1.76,0.95,2.77,-0.86,"Psever",1.7
0.7,1.78,-0.05,-1.12,0.68,-2.94,"Psever",1.79
0.58,1.52,-0.11,-1.8,-0.03,-3.59,"Psever",1.93
-0.63,0.18,-1.79,0.94,2.74,-0.87,"Psever",1.64
-0.65,0.15,-1.81,0.96,2.75,-0.87,"Psever",1.66
-0.1,0.5,-0.78,0.14,1.96,-1.67,"Psever",2.35
0.8,1.98,0.02,-0.65,1.09,-2.41,"Psever",1.54
0.23,0.9,-0.35,-0.5,1.28,-2.3,"Psever",2.33
0.76,1.84,-0.01,-0.84,0.92,-2.62,"Psever",1.69
-0.65,0.17,-1.84,0.96,2.79,-0.89,"Psever",1.67
0.19,0.85,-0.4,-0.91,0.82,-2.62,"Psever",2.19
0.76,1.86,0,-0.8,0.96,-2.54,"Psever",1.64
-0.64,0.17,-1.84,0.96,2.74,-0.86,"Psever",1.59
