"Well"	"replno"	"smpltp"	"templvol"	"QtyID"	"WellType"	"Replicate"	"ThresholddRn"	"CtdRn"	"Quantitycopies"	"RSqdRn"	"SlopedRn"	"qpcrno"	"MONISprojectno"	"AssayID"	"spcabbr"	"plateno"	"qpcrrundate"	"Conc"	"Species"	"Sample_Name"	"Ct"	"MST_sample_number"	"Bemaerkn"	"conc_qubit_ng_uL"	"Dato.for.ekstraktion"	"dato_80C"	"Dato_for_indsml"	"Dato_inds"	"Dyb_lagd01"	"Dyb_Str_m"	"Ekstraktionsnummer"	"Elueringvolumen.AE.buffer.uL"	"Inst"	"lokalitet_vanda"	"Lok_omr01"	"lok_pos_lat"	"lok_pos_lon"	"max_Dyb"	"MST.nummer"	"MST.n_Dinds"	"MSTno_di"	"MST_STEXno"	"Navn_Inds"	"Noter2"	"skib"	"smplNoSTEX"	"Sub_Nmb_for_extraction"	"Temp_Inds"	"U_Pr_Nr"	"vandsoejllagd"	"Vwf_mL"	"wdt"	"smpl_day"	"smpl_mnt"	"smpl_yea"	"init_concentration"
"A11"	25	"MST2021-012"	"3uL"	"QtyorID"	"Unknown"	25	0.0618	"NoCt"	"NoCt"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	0	"Karmik"	"MST2021-012"	0	"MST2021012"	NA	"11"	"2022-feb-01"	"2021-05-03"	"2021-04-27"	"2021-04-27"	"na"	59	"MST-SX25"	400	"MSTSYD"	95130028	"VejleFjordindre_VF"	55.7021833333333	9.66136111111111	69	"MST2021012"	"MST2021012_2021-04-27"	"MST2021012::2021-04-27"	"MST2021012STEX25_12"	"KRISTIANMCGREGOR"	NA	"LIVII"	"MST2021012STEX25_12"	"25_12"	81.7	"MST2021012"	"nej"	1500	TRUE	27	4	2021	NA
"A12"	25	"MST2021-012"	"3uL"	"QtyorID"	"Unknown"	25	0.0618	"NoCt"	"NoCt"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	0	"Karmik"	"MST2021-012"	0	"MST2021012"	NA	"11"	"2022-feb-01"	"2021-05-03"	"2021-04-27"	"2021-04-27"	"na"	59	"MST-SX25"	400	"MSTSYD"	95130028	"VejleFjordindre_VF"	55.7021833333333	9.66136111111111	69	"MST2021012"	"MST2021012_2021-04-27"	"MST2021012::2021-04-27"	"MST2021012STEX25_12"	"KRISTIANMCGREGOR"	NA	"LIVII"	"MST2021012STEX25_12"	"25_12"	81.7	"MST2021012"	"nej"	1500	TRUE	27	4	2021	NA
"B01"	2	"std3E4"	"3uL"	"QtyorID"	"Standard"	2	0.0618	"28.91"	"3.00e+004"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	30000	"Karmik"	"std3E4"	28.91	"std3E4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30000
"B02"	2	"std3E4"	"3uL"	"QtyorID"	"Standard"	2	0.0618	"28.82"	"3.00e+004"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	30000	"Karmik"	"std3E4"	28.82	"std3E4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30000
"B03"	2	"std3E4"	"3uL"	"QtyorID"	"Standard"	2	0.0618	"28.69"	"3.00e+004"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	30000	"Karmik"	"std3E4"	28.69	"std3E4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30000
"B04"	10	"MST2021-015"	"3uL"	"QtyorID"	"Unknown"	10	0.0618	"NoCt"	"NoCt"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	0	"Karmik"	"MST2021-015"	0	"MST2021015"	NA	"5.4"	"2021-nov-24"	"2021-09-08"	"2021-09-02"	"2021-09-02"	"na"	1	"MST-SX21"	400	"MST_MJL"	91320001	"RKB1"	56.0778333333333	8.21678611111111	32	"MST2021015"	"MST2021015_2021-09-02"	"MST2021015::2021-09-02"	"MST2021015STEX21_03"	"BentJensen"	NA	"Penelope"	"MST2021015STEX21_03"	"21_03"	17.5	"MST2021015"	"nej"	925	TRUE	2	9	2021	NA
"B05"	10	"MST2021-015"	"3uL"	"QtyorID"	"Unknown"	10	0.0618	"NoCt"	"NoCt"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	0	"Karmik"	"MST2021-015"	0	"MST2021015"	NA	"5.4"	"2021-nov-24"	"2021-09-08"	"2021-09-02"	"2021-09-02"	"na"	1	"MST-SX21"	400	"MST_MJL"	91320001	"RKB1"	56.0778333333333	8.21678611111111	32	"MST2021015"	"MST2021015_2021-09-02"	"MST2021015::2021-09-02"	"MST2021015STEX21_03"	"BentJensen"	NA	"Penelope"	"MST2021015STEX21_03"	"21_03"	17.5	"MST2021015"	"nej"	925	TRUE	2	9	2021	NA
"B06"	10	"MST2021-015"	"3uL"	"QtyorID"	"Unknown"	10	0.0618	"NoCt"	"NoCt"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	0	"Karmik"	"MST2021-015"	0	"MST2021015"	NA	"5.4"	"2021-nov-24"	"2021-09-08"	"2021-09-02"	"2021-09-02"	"na"	1	"MST-SX21"	400	"MST_MJL"	91320001	"RKB1"	56.0778333333333	8.21678611111111	32	"MST2021015"	"MST2021015_2021-09-02"	"MST2021015::2021-09-02"	"MST2021015STEX21_03"	"BentJensen"	NA	"Penelope"	"MST2021015STEX21_03"	"21_03"	17.5	"MST2021015"	"nej"	925	TRUE	2	9	2021	NA
"B07"	18	"MST2021-052"	"3uL"	"QtyorID"	"Unknown"	18	0.0618	"NoCt"	"NoCt"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	0	"Karmik"	"MST2021-052"	0	"MST2021052"	NA	"8.95"	"2021-nov-24"	"2021-06-15"	"2021-06-14"	"2021-06-14"	"26"	1	"MST-SX21"	400	"Fyn"	94230001	"FYN6900017"	55.4678333333333	10.5169333333333	84	"MST2021052"	"MST2021052_2021-06-14"	"MST2021052::2021-06-14"	"MST2021052STEX21_10"	"FlemmingNoergaard"	NA	"Belone"	"MST2021052STEX21_10"	"21_10"	17.8	"MST2021052"	"ja"	610	FALSE	14	6	2021	NA
"B08"	18	"MST2021-052"	"3uL"	"QtyorID"	"Unknown"	18	0.0618	"NoCt"	"NoCt"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	0	"Karmik"	"MST2021-052"	0	"MST2021052"	NA	"8.95"	"2021-nov-24"	"2021-06-15"	"2021-06-14"	"2021-06-14"	"26"	1	"MST-SX21"	400	"Fyn"	94230001	"FYN6900017"	55.4678333333333	10.5169333333333	84	"MST2021052"	"MST2021052_2021-06-14"	"MST2021052::2021-06-14"	"MST2021052STEX21_10"	"FlemmingNoergaard"	NA	"Belone"	"MST2021052STEX21_10"	"21_10"	17.8	"MST2021052"	"ja"	610	FALSE	14	6	2021	NA
"B09"	18	"MST2021-052"	"3uL"	"QtyorID"	"Unknown"	18	0.0618	"NoCt"	"NoCt"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	0	"Karmik"	"MST2021-052"	0	"MST2021052"	NA	"8.95"	"2021-nov-24"	"2021-06-15"	"2021-06-14"	"2021-06-14"	"26"	1	"MST-SX21"	400	"Fyn"	94230001	"FYN6900017"	55.4678333333333	10.5169333333333	84	"MST2021052"	"MST2021052_2021-06-14"	"MST2021052::2021-06-14"	"MST2021052STEX21_10"	"FlemmingNoergaard"	NA	"Belone"	"MST2021052STEX21_10"	"21_10"	17.8	"MST2021052"	"ja"	610	FALSE	14	6	2021	NA
"B10"	26	"MST2021-075"	"3uL"	"QtyorID"	"Unknown"	26	0.0618	"NoCt"	"NoCt"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	0	"Karmik"	"MST2021-075"	0	"MST2021075"	NA	"4.86"	"2021-dec-08"	"2021-05-20"	"2021-05-11"	"2021-05-11"	"13"	1	"MST-SX22"	400	"MSTOJL"	94300001	"VEJ0006870_94300001"	55.6743833333333	10.0845083333333	21	"MST2021075"	"MST2021075_2021-05-11"	"MST2021075::2021-05-11"	"MST2021075STEX22_13"	"janeRobertsen"	NA	"Frigg"	"MST2021075STEX22_13"	"22_13"	98.1	"MST2021075"	"ja"	1100	FALSE	11	5	2021	NA
"B11"	26	"MST2021-075"	"3uL"	"QtyorID"	"Unknown"	26	0.0618	"NoCt"	"NoCt"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	0	"Karmik"	"MST2021-075"	0	"MST2021075"	NA	"4.86"	"2021-dec-08"	"2021-05-20"	"2021-05-11"	"2021-05-11"	"13"	1	"MST-SX22"	400	"MSTOJL"	94300001	"VEJ0006870_94300001"	55.6743833333333	10.0845083333333	21	"MST2021075"	"MST2021075_2021-05-11"	"MST2021075::2021-05-11"	"MST2021075STEX22_13"	"janeRobertsen"	NA	"Frigg"	"MST2021075STEX22_13"	"22_13"	98.1	"MST2021075"	"ja"	1100	FALSE	11	5	2021	NA
"B12"	26	"MST2021-075"	"3uL"	"QtyorID"	"Unknown"	26	0.0618	"NoCt"	"NoCt"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	0	"Karmik"	"MST2021-075"	0	"MST2021075"	NA	"4.86"	"2021-dec-08"	"2021-05-20"	"2021-05-11"	"2021-05-11"	"13"	1	"MST-SX22"	400	"MSTOJL"	94300001	"VEJ0006870_94300001"	55.6743833333333	10.0845083333333	21	"MST2021075"	"MST2021075_2021-05-11"	"MST2021075::2021-05-11"	"MST2021075STEX22_13"	"janeRobertsen"	NA	"Frigg"	"MST2021075STEX22_13"	"22_13"	98.1	"MST2021075"	"ja"	1100	FALSE	11	5	2021	NA
"C01"	3	"std3E3"	"3uL"	"QtyorID"	"Standard"	3	0.0618	"32.20"	"3.00e+003"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	3000	"Karmik"	"std3E3"	32.2	"std3E3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3000
"C02"	3	"std3E3"	"3uL"	"QtyorID"	"Standard"	3	0.0618	"31.91"	"3.00e+003"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	3000	"Karmik"	"std3E3"	31.91	"std3E3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3000
"C03"	3	"std3E3"	"3uL"	"QtyorID"	"Standard"	3	0.0618	"32.03"	"3.00e+003"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	3000	"Karmik"	"std3E3"	32.03	"std3E3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3000
"C04"	11	"MST2021-028"	"3uL"	"QtyorID"	"Unknown"	11	0.0618	"33.66"	"1.034e+003"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	1034	"Karmik"	"MST2021-028"	33.66	"MST2021028"	"VandproeverneernedkoeletogtransporterettilAalborghvorfiltreringenskete"	"0.58"	"2021-nov-24"	"2021-10-09"	"2021-09-27"	"2021-09-27"	NA	NA	"MST-SX21"	400	"Nordjylland"	92200001	"HirtshalsNOR7715_92200001"	57.6078333333333	9.90025555555555	18	"MST2021028"	"MST2021028_2021-09-27"	"MST2021028::2021-09-27"	"MST2021028STEX21_06"	"SvendaageBendtsen"	NA	"MagretheGaardbo"	"MST2021028STEX21_06"	"21_06"	15	"MST2021028"	"nej"	1200	TRUE	27	9	2021	NA
"C05"	11	"MST2021-028"	"3uL"	"QtyorID"	"Unknown"	11	0.0618	"33.87"	"8.990e+002"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	899	"Karmik"	"MST2021-028"	33.87	"MST2021028"	"VandproeverneernedkoeletogtransporterettilAalborghvorfiltreringenskete"	"0.58"	"2021-nov-24"	"2021-10-09"	"2021-09-27"	"2021-09-27"	NA	NA	"MST-SX21"	400	"Nordjylland"	92200001	"HirtshalsNOR7715_92200001"	57.6078333333333	9.90025555555555	18	"MST2021028"	"MST2021028_2021-09-27"	"MST2021028::2021-09-27"	"MST2021028STEX21_06"	"SvendaageBendtsen"	NA	"MagretheGaardbo"	"MST2021028STEX21_06"	"21_06"	15	"MST2021028"	"nej"	1200	TRUE	27	9	2021	NA
"C06"	11	"MST2021-028"	"3uL"	"QtyorID"	"Unknown"	11	0.0618	"33.85"	"9.119e+002"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	911.9	"Karmik"	"MST2021-028"	33.85	"MST2021028"	"VandproeverneernedkoeletogtransporterettilAalborghvorfiltreringenskete"	"0.58"	"2021-nov-24"	"2021-10-09"	"2021-09-27"	"2021-09-27"	NA	NA	"MST-SX21"	400	"Nordjylland"	92200001	"HirtshalsNOR7715_92200001"	57.6078333333333	9.90025555555555	18	"MST2021028"	"MST2021028_2021-09-27"	"MST2021028::2021-09-27"	"MST2021028STEX21_06"	"SvendaageBendtsen"	NA	"MagretheGaardbo"	"MST2021028STEX21_06"	"21_06"	15	"MST2021028"	"nej"	1200	TRUE	27	9	2021	NA
"C07"	19	"MST2021-071"	"3uL"	"QtyorID"	"Unknown"	19	0.0618	"33.99"	"8.304e+002"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	830.4	"Karmik"	"MST2021-071"	33.99	"MST2021071"	NA	"6.5"	"2022-jan-11"	"2021-10-21"	"2021-10-13"	"2021-10-13"	NA	1	"MST-SX24"	400	"Fyn"	94230001	"FYN6900017"	55.4678333333333	10.5169333333333	98	"MST2021071"	"MST2021071_2021-10-13"	"MST2021071::2021-10-13"	"MST2021071STEX24_04"	"FlemmingNoergaard&PauliJoergensen"	NA	"Belone"	"MST2021071STEX24_04"	"24_04"	11.4	"MST2021071"	"nej"	1500	FALSE	13	10	2021	NA
"C08"	19	"MST2021-071"	"3uL"	"QtyorID"	"Unknown"	19	0.0618	"33.53"	"1.134e+003"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	1134	"Karmik"	"MST2021-071"	33.53	"MST2021071"	NA	"6.5"	"2022-jan-11"	"2021-10-21"	"2021-10-13"	"2021-10-13"	NA	1	"MST-SX24"	400	"Fyn"	94230001	"FYN6900017"	55.4678333333333	10.5169333333333	98	"MST2021071"	"MST2021071_2021-10-13"	"MST2021071::2021-10-13"	"MST2021071STEX24_04"	"FlemmingNoergaard&PauliJoergensen"	NA	"Belone"	"MST2021071STEX24_04"	"24_04"	11.4	"MST2021071"	"nej"	1500	FALSE	13	10	2021	NA
"C09"	19	"MST2021-071"	"3uL"	"QtyorID"	"Unknown"	19	0.0618	"34.01"	"8.185e+002"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	818.5	"Karmik"	"MST2021-071"	34.01	"MST2021071"	NA	"6.5"	"2022-jan-11"	"2021-10-21"	"2021-10-13"	"2021-10-13"	NA	1	"MST-SX24"	400	"Fyn"	94230001	"FYN6900017"	55.4678333333333	10.5169333333333	98	"MST2021071"	"MST2021071_2021-10-13"	"MST2021071::2021-10-13"	"MST2021071STEX24_04"	"FlemmingNoergaard&PauliJoergensen"	NA	"Belone"	"MST2021071STEX24_04"	"24_04"	11.4	"MST2021071"	"nej"	1500	FALSE	13	10	2021	NA
"C10"	27	"MST1022"	"3uL"	"QtyorID"	"Unknown"	27	0.0618	"NoCt"	"NoCt"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	0	"Karmik"	"MST1022"	0	"MST1022"	NA	"0.428"	"2021-dec-08"	"2021-05-20"	"2021-05-17"	"2021-05-17"	"9"	1	"MST-SX22"	400	"MSTOJL"	94400007	"ARH1700006_94400007"	56.1547333333333	10.3170055555556	162	"MST1022"	"MST1022_2021-05-17"	"MST1022::2021-05-17"	"MST1022STEX22_02"	"janeRobertsen"	NA	"Frigg"	NA	"22_02"	10.9	"MST1022"	"ja"	1100	FALSE	17	5	2021	NA
"C11"	27	"MST1022"	"3uL"	"QtyorID"	"Unknown"	27	0.0618	"NoCt"	"NoCt"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	0	"Karmik"	"MST1022"	0	"MST1022"	NA	"0.428"	"2021-dec-08"	"2021-05-20"	"2021-05-17"	"2021-05-17"	"9"	1	"MST-SX22"	400	"MSTOJL"	94400007	"ARH1700006_94400007"	56.1547333333333	10.3170055555556	162	"MST1022"	"MST1022_2021-05-17"	"MST1022::2021-05-17"	"MST1022STEX22_02"	"janeRobertsen"	NA	"Frigg"	NA	"22_02"	10.9	"MST1022"	"ja"	1100	FALSE	17	5	2021	NA
"C12"	27	"MST1022"	"3uL"	"QtyorID"	"Unknown"	27	0.0618	"NoCt"	"NoCt"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	0	"Karmik"	"MST1022"	0	"MST1022"	NA	"0.428"	"2021-dec-08"	"2021-05-20"	"2021-05-17"	"2021-05-17"	"9"	1	"MST-SX22"	400	"MSTOJL"	94400007	"ARH1700006_94400007"	56.1547333333333	10.3170055555556	162	"MST1022"	"MST1022_2021-05-17"	"MST1022::2021-05-17"	"MST1022STEX22_02"	"janeRobertsen"	NA	"Frigg"	NA	"22_02"	10.9	"MST1022"	"ja"	1100	FALSE	17	5	2021	NA
"D01"	4	"std3E2"	"3uL"	"QtyorID"	"Standard"	4	0.0618	"35.84"	"3.00e+002"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	300	"Karmik"	"std3E2"	35.84	"std3E2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	300
"D02"	4	"std3E2"	"3uL"	"QtyorID"	"Standard"	4	0.0618	"35.57"	"3.00e+002"	0.991	-3.427	"qpcr925"	"MONIS6"	"AssID05"	"Karmik"	"plt01"	"qpcrrundate20220420"	300	"Karmik"	"std3E2"	35.57	"std3E2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	300
