"Well"	"MST_sample_number"	"spcabbr"	"conc_copies_per_uL"	"Accepted_Droplets"	"Positives"	"Negatives"	"Tot_drop"	"init_concentration"	"ddpcrno"	"Bemaerkn"	"conc_qubit_ng_uL"	"Dato.for.ekstraktion"	"dato_80C"	"Dato_for_indsml"	"Dato_inds"	"Dyb_lagd01"	"Dyb_Str_m"	"Ekstraktionsnummer"	"Elueringvolumen.AE.buffer.uL"	"Inst"	"lokalitet_vanda"	"Lok_omr01"	"lok_pos_lat"	"lok_pos_lon"	"max_Dyb"	"MST.nummer"	"MST.n_Dinds"	"MSTno_di"	"MST_STEXno"	"Navn_Inds"	"Noter2"	"skib"	"smplNoSTEX"	"Sub_Nmb_for_extraction"	"Temp_Inds"	"U_Pr_Nr"	"vandsoejllagd"	"Vwf_mL"	"wdt"	"smpl_day"	"smpl_mnt"	"smpl_yea"	"Total_drop"	"Species"
"B04"	"MST2021075"	"Myaare"	0	20118	0	20118	20118	NA	"ddpcr0015"	NA	4.86	"2021-dec-08"	"2021-05-20"	"2021-05-11"	"2021-05-11"	"13"	1	"MST-SX22"	400	"MSTOJL"	94300001	"VEJ0006870_94300001"	55.6743833333333	10.0845083333333	21	"MST2021075"	"MST2021075_2021-05-11"	"MST2021075::2021-05-11"	"MST2021075STEX22_13"	"janeRobertsen"	NA	"Frigg"	"MST2021075STEX22_13"	"22_13"	98.1	"MST2021075"	"ja"	1100	FALSE	11	5	2021	20118	"Myaare"
"B05"	"MST2021064"	"Myaare"	0	20379	0	20379	20379	NA	"ddpcr0015"	"Breddegrad:56572400"	2.96	"2021-nov-24"	"2021-09-08"	"2021-09-02"	"2021-09-02"	"na"	1	"MST-SX21"	400	"MSTNJL"	93730002	"93730002_VIB3708_1"	56.954	9.05020833333333	76	"MST2021064"	"MST2021064_2021-09-02"	"MST2021064::2021-09-02"	"MST2021064STEX21_15"	"kristianmcgregor"	NA	"Frigg"	"MST2021064STEX21_15"	"21_15"	173.7	"MST2021064"	"nej"	700	FALSE	2	9	2021	20379	"Myaare"
"B06"	"MST1054"	"Myaare"	0	19948	0	19948	19948	NA	"ddpcr0015"	NA	6.85	"2022-jan-11"	"2021-05-31"	"2021-05-18"	"2021-05-18"	"38m"	1	"MST-SX24"	400	"MST_FYN"	99000052	"DMU444_Arkona"	55	13.3	48	"MST1054"	"MST1054_2021-05-18"	"MST1054::2021-05-18"	"MST1054STEX24_23"	"ALKRI_NIFSO"	NA	"Sif"	NA	"24_23"	92	"MST1054"	"ja"	1400	FALSE	18	5	2021	19948	"Myaare"
"B07"	"MST2021076"	"Myaare"	0	16547	0	16547	16547	NA	"ddpcr0015"	NA	7.4	"2022-feb-01"	"2021-09-08"	"2021-09-02"	"2021-09-02"	"42"	1	"MST-SX25"	400	"MSTFYN"	99000052	"DMU444"	54.9996666666667	13.3	457	"MST2021076"	"MST2021076_2021-09-02"	"MST2021076::2021-09-02"	"MST2021076STEX25_04"	"alkri"	NA	"Sif"	"MST2021076STEX25_04"	"25_04"	17.5	"MST2021076"	"ja"	1800	FALSE	2	9	2021	16547	"Myaare"
"C01"	"std_5E3"	"Myaare"	239.106155395508	19960	3671	16289	19960	5000	"ddpcr0015"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19960	"Myaare"
"C02"	"MST2021028"	"Myaare"	0	18792	0	18792	18792	NA	"ddpcr0015"	"VandproeverneernedkoeletogtransporterettilAalborghvorfiltreringenskete"	0.58	"2021-nov-24"	"2021-10-09"	"2021-09-27"	"2021-09-27"	NA	NA	"MST-SX21"	400	"Nordjylland"	92200001	"HirtshalsNOR7715_92200001"	57.6078333333333	9.90025555555555	18	"MST2021028"	"MST2021028_2021-09-27"	"MST2021028::2021-09-27"	"MST2021028STEX21_06"	"SvendaageBendtsen"	NA	"MagretheGaardbo"	"MST2021028STEX21_06"	"21_06"	15	"MST2021028"	"nej"	1200	TRUE	27	9	2021	18792	"Myaare"
"C03"	"MST2021071"	"Myaare"	7.33982992172241	18812	117	18695	18812	NA	"ddpcr0015"	NA	6.5	"2022-jan-11"	"2021-10-21"	"2021-10-13"	"2021-10-13"	NA	1	"MST-SX24"	400	"Fyn"	94230001	"FYN6900017"	55.4678333333333	10.5169333333333	98	"MST2021071"	"MST2021071_2021-10-13"	"MST2021071::2021-10-13"	"MST2021071STEX24_04"	"FlemmingNoergaard&PauliJoergensen"	NA	"Belone"	"MST2021071STEX24_04"	"24_04"	11.4	"MST2021071"	"nej"	1500	FALSE	13	10	2021	18812	"Myaare"
"C04"	"MST1022"	"Myaare"	0	19147	0	19147	19147	NA	"ddpcr0015"	NA	0.428	"2021-dec-08"	"2021-05-20"	"2021-05-17"	"2021-05-17"	"9"	1	"MST-SX22"	400	"MSTOJL"	94400007	"ARH1700006_94400007"	56.1547333333333	10.3170055555556	162	"MST1022"	"MST1022_2021-05-17"	"MST1022::2021-05-17"	"MST1022STEX22_02"	"janeRobertsen"	NA	"Frigg"	NA	"22_02"	10.9	"MST1022"	"ja"	1100	FALSE	17	5	2021	19147	"Myaare"
"C05"	"MST2021079"	"Myaare"	0.183637022972107	19221	3	19218	19221	NA	"ddpcr0015"	NA	7.6	"2021-nov-24"	"2021-09-08"	"2021-09-06"	"2021-09-06"	"2"	1	"MST-SX21"	400	"MSTMJL"	93740007	"93740007_VIB3727_1"	56.6208333333333	9.06681944444444	51	"MST2021079"	"MST2021079_2021-09-06"	"MST2021079::2021-09-06"	"MST2021079STEX21_21"	"RasmusBillegrav"	NA	"Frigg"	"MST2021079STEX21_21"	"21_21"	173.5	"MST2021079"	"ja"	1100	FALSE	6	9	2021	19221	"Myaare"
"C06"	"MST2021008"	"Myaare"	0.17637799680233	20012	3	20009	20012	NA	"ddpcr0015"	NA	9.1	"2022-jan-11"	"2021-05-31"	"2021-05-19"	"2021-05-19"	"86"	1	"MST-SX24"	400	"MST_SJL"	97200002	"KBH431_Ven"	55.8666666666667	12.75	55	"MST2021008"	"MST2021008_2021-05-19"	"MST2021008::2021-05-19"	"MST2021008STEX24_05"	"ALKRI_NIFSO"	NA	"Sif"	"MST2021008STEX24_05"	"24_05"	11.8	"MST2021008"	"ja"	1300	FALSE	19	5	2021	20012	"Myaare"
"C07"	"MST2021029"	"Myaare"	0	15925	0	15925	15925	NA	"ddpcr0015"	NA	5.7	"2021-nov-24"	"2021-09-15"	"2021-09-07"	"2021-09-07"	"12"	1	"MST-SX21"	400	"MSTSJL"	97200002	"KBH431"	55.8616666666667	12.7336055555556	501	"MST2021029"	"MST2021029_2021-09-07"	"MST2021029::2021-09-07"	"MST2021029STEX21_07"	"alkri"	NA	"Sif"	"MST2021029STEX21_07"	"21_07"	17.1	"MST2021029"	"ja"	1800	TRUE	7	9	2021	15925	"Myaare"
"D01"	"std_5E2"	"Myaare"	22.6547298431396	19295	368	18927	19295	500	"ddpcr0015"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19295	"Myaare"
"D02"	"MST2021031"	"Myaare"	0	18665	0	18665	18665	NA	"ddpcr0015"	"ErudtagetmedLindahlslangesomdybdeintegredetproeverfra0_10metersammenmedplanktonproeverneogsaaprofilmaalingerchlAogvandkemi"	0.97	"2021-nov-24"	"2021-07-03"	"2021-06-17"	"2021-06-17"	NA	4	"MST-SX21"	400	"Nordjylland"	92200001	"HirtshalsNOR7715_92200001"	57.6078333333333	9.90025555555555	15	"MST2021031"	"MST2021031_2021-06-17"	"MST2021031::2021-06-17"	"MST2021031STEX21_09"	"SvendaageBendtsen"	NA	"MagretheGaardbo"	"MST2021031STEX21_09"	"21_09"	14	"MST2021031"	"nej"	1200	FALSE	17	6	2021	18665	"Myaare"
"D03"	"MST2021005"	"Myaare"	2.48541450500488	18954	40	18914	18954	NA	"ddpcr0015"	NA	11.7	"2022-jan-11"	"2021-06-10"	"2021-06-01"	"2021-06-01"	NA	1	"MST-SX24"	400	"Sjaelland"	93220011	"ROS60_322RoskildeFjord"	55.713	12.04	48	"MST2021005"	"MST2021005_2021-06-01"	"MST2021005::2021-06-01"	"MST2021005STEX24_12"	"EmilGuddalLarsen"	NA	"Mergus"	"MST2021005STEX24_12"	"24_12"	17.1	"MST2021005"	"nej"	1600	TRUE	1	6	2021	18954	"Myaare"
"D04"	"MST2021089"	"Myaare"	0	20075	0	20075	20075	NA	"ddpcr0015"	NA	5.7	"2022-jan-06"	"2021-05-20"	"2021-05-17"	"2021-05-17"	"75"	13	"MST-SX23"	400	"MSTOJL"	94510035	"EbeltoftVig"	56.2094	10.6003444444444	14	"MST2021089"	"MST2021089_2021-05-17"	"MST2021089::2021-05-17"	"MST2021089STEX23_06"	"janeRobertsen"	NA	"Frigg"	"MST2021089STEX23_06"	"23_06"	77.3	"MST2021089"	"ja"	1400	FALSE	17	5	2021	20075	"Myaare"
"D05"	"MST2021082"	"Myaare"	0	18880	0	18880	18880	NA	"ddpcr0015"	NA	4.09	"2021-nov-24"	"2021-09-08"	"2021-09-07"	"2021-09-07"	"4"	1	"MST-SX21"	400	"MSTNJL"	93000005	"93000005_NOR409"	56.8561	10.7845083333333	146	"MST2021082"	"MST2021082_2021-09-07"	"MST2021082::2021-09-07"	"MST2021082STEX21_23"	"RasmusBillegrav"	NA	"Frigg"	"MST2021082STEX21_23"	"21_23"	160.3	"MST2021082"	"ja"	1500	FALSE	7	9	2021	18880	"Myaare"
"D06"	"MST2021019"	"Myaare"	0	20189	0	20189	20189	NA	"ddpcr0015"	NA	3.86	"2022-jan-11"	"2021-05-31"	"2021-05-25"	"2021-05-25"	"11m"	1	"MST-SX24"	400	"MST_NJL"	93000005	"NOR409_aalborgBugt"	56.8566666666667	10.7834722222222	146	"MST2021019"	"MST2021019_2021-05-25"	"MST2021019::2021-05-25"	"MST2021019STEX24_21"	"ALKRI_NICRA"	NA	"Sif"	"MST2021019STEX24_21"	"24_21"	88	"MST2021019"	"ja"	1650	TRUE	25	5	2021	20189	"Myaare"
"D07"	"MST2021083"	"Myaare"	0	14869	0	14869	14869	NA	"ddpcr0015"	NA	7.8	"2022-jan-11"	"2021-10-29"	"2021-10-22"	"2021-10-22"	"12"	1	"MST-SX24"	400	"MSTFYN"	95600002	"FYN6300043"	54.9976833333333	10.1517305555556	34	"MST2021083"	"MST2021083_2021-10-22"	"MST2021083::2021-10-22"	"MST2021083STEX24_03"	"alkri"	NA	"Sif"	"MST2021083STEX24_03"	"24_03"	12.5	"MST2021083"	"ja"	1500	FALSE	22	10	2021	14869	"Myaare"
"E01"	"std_5E1"	"Myaare"	2.11666178703308	19471	35	19436	19471	50	"ddpcr0015"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19471	"Myaare"
"E02"	"MST2021032"	"Myaare"	0	18506	0	18506	18506	NA	"ddpcr0015"	"erudtagetmedNiskinvandhenter"	3.28	"2022-jan-11"	"2021-07-03"	"2021-06-23"	"2021-06-23"	NA	3	"MST-SX24"	400	"Nordjylland"	93920064	"KragskovRevSyd"	57.5407666666667	10.4687805555556	4	"MST2021032"	"MST2021032_2021-06-23"	"MST2021032::2021-06-23"	"MST2021032STEX24_11"	"SvendaageBendtsen"	NA	"Pingo"	"MST2021032STEX24_11"	"24_11"	15.7	"MST2021032"	"nej"	1400	FALSE	23	6	2021	18506	"Myaare"
"E03"	"MST2021025"	"Myaare"	0	18958	0	18958	18958	NA	"ddpcr0015"	"Datoforoverfoerseltil_80Cfryserenilaboratorieterikkedokumenteremenproevemersenestblevetoverfoertd15_06_2021ogmuligvisvedentidligeredato
"	3.16	"2022-jan-11"	"2021-06-15"	"2021-06-10"	"2021-06-10"	NA	28	"MST-SX24"	400	"Sjaelland"	99150002	"FranksRev"	55.0334833333333	15.5078333333333	39	"MST2021025"	"MST2021025_2021-06-10"	"MST2021025::2021-06-10"	"MST2021025STEX24_02"	"EmilGuddalLarsen"	NA	"Mergus"	"MST2021025STEX24_02"	"24_02"	16.8	"MST2021025"	"nej"	1750	TRUE	10	6	2021	18958	"Myaare"
"E04"	"MST2021088"	"Myaare"	0	19153	0	19153	19153	NA	"ddpcr0015"	NA	16.5	"2022-feb-01"	"2021-05-21"	"2021-05-20"	"2021-05-20"	"75"	188	"MST-SX25"	400	"MSTFYN"	96700057	"KertemindeBugt"	55.4392166666667	10.8276944444444	198	"MST2021088"	"MST2021088_2021-05-20"	"MST2021088::2021-05-20"	"MST2021088STEX25_03"	"janeRobertsen"	NA	"Frigg"	"MST2021088STEX25_03"	"25_03"	73.7	"MST2021088"	"ja"	1600	FALSE	20	5	2021	19153	"Myaare"
"E05"	"MST2021070"	"Myaare"	0.0620615929365158	18957	1	18956	18957	NA	"ddpcr0015"	NA	9.1	"2022-jan-11"	"2021-10-27"	"2021-10-26"	"2021-10-26"	"86"	1	"MST-SX24"	400	"MSTNJL"	93610032	"93610032"	56.6626666666667	9.96678333333333	28	"MST2021070"	"MST2021070_2021-10-26"	"MST2021070::2021-10-26"	"MST2021070STEX24_16"	"RasmusBillegrav"	NA	"Frigg"	"MST2021070STEX24_16"	"24_16"	107.4	"MST2021070"	"ja"	1200	FALSE	26	10	2021	18957	"Myaare"
"E06"	"MST2021030"	"Myaare"	0.177495628595352	19886	3	19883	19886	NA	"ddpcr0015"	NA	4.07	"2021-nov-24"	"2021-05-31"	"2021-05-26"	"2021-05-26"	"N_A"	1	"MST-SX21"	400	"MST_MJL"	93740007	"SkiveFjord"	56.6208333333333	9.06681944444444	5	"MST2021030"	"MST2021030_2021-05-26"	"MST2021030::2021-05-26"	"MST2021030STEX21_08"	"PHELD_NICRA"	NA	"Sif"	"MST2021030STEX21_08"	"21_08"	115.9	"MST2021030"	"nej"	1600	TRUE	26	5	2021	19886	"Myaare"
"E07"	"MST2021006"	"Myaare"	0.148516148328781	15844	2	15842	15844	NA	"ddpcr0015"	NA	7.65	"2022-jan-11"	"2021-08-25"	"2021-08-24"	"2021-08-24"	"_"	96	"MST-SX24"	400	"MSTSTO"	99210007	"1001027Hovedeskov"	54.7410833333333	12.0851805555556	106	"MST2021006"	"MST2021006_2021-08-24"	"MST2021006::2021-08-24"	"MST2021006STEX24_13"	"NicolaiEspenhainAnker"	NA	"ABRA"	"MST2021006STEX24_13"	"24_13"	17.3	"MST2021006"	"nej"	1400	TRUE	24	8	2021	15844	"Myaare"
"F01"	"std_5E0"	"Myaare"	7.33717775344849	19623	122	19501	19623	5	"ddpcr0015"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19623	"Myaare"
"F02"	"MST2021040"	"Myaare"	0.0626398622989655	18782	1	18781	18782	NA	"ddpcr0015"	NA	4.92	"2021-dec-08"	"2021-09-22"	"2021-09-15"	"2021-09-15"	NA	95	"MST-SX22"	400	"MSToestjylland"	93420310	"Tr3Fornaes"	56.4437333333333	10.9524027777778	11	"MST2021040"	"MST2021040_2021-09-15"	"MST2021040::2021-09-15"	"MST2021040STEX22_09"	"JensDeding"	NA	"Havana"	"MST2021040STEX22_09"	"22_09"	15.7	"MST2021040"	"?"	1270	FALSE	15	9	2021	18782	"Myaare"
"F03"	"NEKfeb2022"	"Myaare"	0	18776	0	18776	18776	NA	"ddpcr0015"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18776	"Myaare"
"F04"	"MST2021062"	"Myaare"	0	19875	0	19875	19875	NA	"ddpcr0015"	NA	19	"2022-feb-01"	"2021-05-21"	"2021-05-21"	"2021-05-21"	"12"	1	"MST-SX25"	400	"MSTFYN"	95600002	"95600002_FYN6300043"	54.9975833333333	10.1654166666667	361	"MST2021062"	"MST2021062_2021-05-21"	"MST2021062::2021-05-21"	"MST2021062STEX25_10"	"janeRobertsen"	NA	"Frigg"	"MST2021062STEX25_10"	"25_10"	112.2	"MST2021062"	"ja"	1400	FALSE	21	5	2021	19875	"Myaare"
"F05"	"MST1043"	"Myaare"	0	19113	0	19113	19113	NA	"ddpcr0015"	NA	3.06	"2022-jan-06"	"2021-04-12"	"2021-04-06"	"2021-04-06"	NA	11	"MST-SX23"	400	"MSTOJL"	93500119	"Hevringbugt"	56.6261666666667	10.3204	12	"MST1043"	"MST1043_2021-04-06"	"MST1043::2021-04-06"	"MST1043STEX23_02"	"JOCTH"	NA	"Musling"	NA	"23_02"	64.3	"MST1043"	"nej"	1500	FALSE	6	4	2021	19113	"Myaare"
"F06"	"MST2021055"	"Myaare"	0	19215	0	19215	19215	NA	"ddpcr0015"	NA	5.3	"2021-nov-24"	"2021-09-15"	"2021-09-14"	"2021-09-14"	"24"	1	"MST-SX21"	400	"STO"	99000049	"99000049"	55.25	15.9833333333333	909	"MST2021055"	"MST2021055_2021-09-14"	"MST2021055::2021-09-14"	"MST2021055STEX21_12"	"krmsk"	NA	"sif"	"MST2021055STEX21_12"	"21_12"	169.3	"MST2021055"	"ja"	1500	FALSE	14	9	2021	19215	"Myaare"
"F07"	"MST2021011"	"Myaare"	0	15231	0	15231	15231	NA	"ddpcr0015"	NA	4.23	"2021-dec-08"	"2021-08-03"	"2021-08-31"	"2021-08-31"	"_"	4.1e+16	"MST-SX22"	400	"MSTSTO"	98210012	"0401011FemerenBaeltVest"	54.73475	11.0846527777778	51	"MST2021011"	"MST2021011_2021-08-31"	"MST2021011::2021-08-31"	"MST2021011STEX22_05"	"NicolaiEspenhainAnker"	NA	"ABRA"	"MST2021011STEX22_05"	"22_05"	170.9	"MST2021011"	"nej"	1500	TRUE	31	8	2021	15231	"Myaare"
"G01"	"std_5E-1"	"Myaare"	1.02893888950348	19446	17	19429	19446	0.5	"ddpcr0015"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19446	"Myaare"
"G02"	"MST2021081"	"Myaare"	0	18455	0	18455	18455	NA	"ddpcr0015"	"RIB1510007"	3.54	"2021-nov-24"	"2021-09-21"	"2021-09-20"	"2021-09-20"	NA	1	"MST-SX21"	400	"Sydjylland"	91500007	"Soenderhooest"	55.3375166666667	8.35012777777778	63	"MST2021081"	"MST2021081_2021-09-20"	"MST2021081::2021-09-20"	"MST2021081STEX21_22"	"LasseoerstedJensen"	NA	"Haig"	"MST2021081STEX21_22"	"21_22"	16	"MST2021081"	"nej"	1300	FALSE	20	9	2021	18455	"Myaare"
"G03"	"MST1028"	"Myaare"	0	17936	0	17936	17936	NA	"ddpcr0015"	NA	7.15	"2022-jan-06"	"2021-03-26"	"2021-03-15"	"2021-03-15"	"17"	282	"MST-SX23"	400	"MSTSYD"	95700008	"FFSB0011"	54.8341666666667	9.81666666666667	292	"MST1028"	"MST1028_2021-03-15"	"MST1028::2021-03-15"	"MST1028STEX23_11"	"RasmusBillegrav"	NA	"LivII"	NA	"23_11"	27.8	"MST1028"	"ja"	1600	FALSE	15	3	2021	17936	"Myaare"
"G04"	"MST2021051"	"Myaare"	193.45246887207	19548	2964	16584	19548	NA	"ddpcr0015"	NA	22.5	"2022-feb-01"	"2021-06-10"	"2021-06-04"	"2021-06-04"	NA	1	"MST-SX25"	400	"MSTNJL"	93730002	"93730002_VIB3708_1"	56.9543333333333	9.07075	7	"MST2021051"	"MST2021051_2021-06-04"	"MST2021051::2021-06-04"	"MST2021051STEX25_16"	"RasmusBillegrav"	NA	"Frigg"	"MST2021051STEX25_16"	"25_16"	150.8	"MST2021051"	"nej"	1700	FALSE	4	6	2021	19548	"Myaare"
"G05"	"MST1024"	"Myaare"	0	19722	0	19722	19722	NA	"ddpcr0015"	NA	1	"2022-jan-06"	"2021-04-19"	"2021-04-15"	"2021-04-15"	NA	5	"MST-SX23"	400	"MSTMJL"	93770056	"NissumBredning"	56.6008333333333	8.400225	6	"MST1024"	"MST1024_2021-04-15"	"MST1024::2021-04-15"	"MST1024STEX23_14"	"JOCTH"	NA	"Musling"	NA	"23_14"	69	"MST1024"	"nej"	1500	FALSE	15	4	2021	19722	"Myaare"
"G06"	"MST2021085"	"Myaare"	0	19645	0	19645	19645	NA	"ddpcr0015"	NA	3.26	"2021-nov-24"	"2021-09-22"	"2021-09-16"	"2021-09-16"	"8.8E+016"	1	"MST-SX21"	400	"SJL"	93000001	"93000001"	56.1305	11.1501055555556	439	"MST2021085"	"MST2021085_2021-09-16"	"MST2021085::2021-09-16"	"MST2021085STEX21_24"	"krmsk"	NA	"sif"	"MST2021085STEX21_24"	"21_24"	173.2	"MST2021085"	"ja"	1700	FALSE	16	9	2021	19645	"Myaare"
"G07"	"MST2021002"	"Myaare"	0.145350947976112	16189	2	16187	16189	NA	"ddpcr0015"	NA	5.4	"2021-dec-08"	"2021-07-08"	"2021-07-07"	"2021-07-07"	"_"	57	"MST-SX22"	400	"MSTSTO"	96220363	"0101142EnoeNor"	55.15755	11.6357944444444	67	"MST2021002"	"MST2021002_2021-07-07"	"MST2021002::2021-07-07"	"MST2021002STEX22_04"	"jakobOleLarsen"	NA	"ABRA"	"MST2021002STEX22_04"	"22_04"	20.4	"MST2021002"	"nej"	1000	TRUE	7	7	2021	16189	"Myaare"
