"C_bin","q98_bin","q2_bin","C_nor","q98_nor","q2_nor","Species","diff"
-0.04,1.28,-1.55,0.59,2.4,-1.21,"Bonham",0.78
0.44,1.6,-0.94,-0.38,1.35,-2.16,"Calsap",0.97
0,1.34,-1.54,0.57,2.33,-1.21,"Calsap",0.66
0,1.31,-1.54,0.57,2.34,-1.25,"Calsap",0.74
0.01,1.29,-1.49,0.58,2.36,-1.19,"Calsap",0.77
0.01,1.29,-1.49,0.57,2.36,-1.2,"Calsap",0.779999999999999
0.01,1.32,-1.52,0.58,2.35,-1.2,"Calsap",0.71
0.01,1.32,-1.5,0.58,2.38,-1.19,"Calsap",0.75
0.44,1.56,-0.93,-0.4,1.37,-2.18,"Calsap",1.06
0.01,1.29,-1.49,0.57,2.36,-1.17,"Calsap",0.75
0,1.33,-1.54,0.58,2.4,-1.2,"Calsap",0.73
0.01,1.32,-1.5,0.58,2.34,-1.21,"Calsap",0.73
0.01,1.32,-1.51,0.59,2.39,-1.21,"Calsap",0.77
0,1.29,-1.5,0.58,2.37,-1.2,"Calsap",0.78
0,1.32,-1.51,0.57,2.38,-1.24,"Calsap",0.79
0,1.31,-1.49,0.56,2.35,-1.25,"Calsap",0.8
0.01,1.29,-1.5,0.56,2.35,-1.24,"Calsap",0.8
0,1.31,-1.51,0.59,2.33,-1.16,"Calsap",0.67
0,1.36,-1.56,0.58,2.34,-1.19,"Calsap",0.61
0.01,1.32,-1.5,0.58,2.37,-1.23,"Calsap",0.78
0.01,1.32,-1.53,0.58,2.36,-1.21,"Calsap",0.72
0.01,1.3,-1.47,0.57,2.31,-1.22,"Calsap",0.76
0,1.3,-1.53,0.59,2.36,-1.19,"Calsap",0.72
0.01,1.31,-1.51,0.58,2.35,-1.2,"Calsap",0.73
0.01,1.33,-1.51,0.58,2.4,-1.23,"Calsap",0.79
0.46,1.63,-0.94,-0.33,1.47,-2.11,"Calsap",1.01
0,1.31,-1.49,0.58,2.34,-1.22,"Calsap",0.76
0.01,1.3,-1.48,0.57,2.34,-1.24,"Calsap",0.8
0.01,1.33,-1.56,0.58,2.45,-1.24,"Calsap",0.8
0.01,1.35,-1.52,0.57,2.36,-1.21,"Calsap",0.7
0,1.31,-1.52,0.58,2.35,-1.19,"Calsap",0.71
0,1.3,-1.48,0.58,2.36,-1.2,"Calsap",0.779999999999999
0.01,1.31,-1.51,0.59,2.35,-1.19,"Calsap",0.72
0,1.29,-1.52,0.56,2.35,-1.2,"Calsap",0.74
0.01,1.3,-1.48,0.57,2.32,-1.18,"Calsap",0.72
0,1.32,-1.53,0.57,2.34,-1.2,"Calsap",0.69
0.01,1.29,-1.46,0.57,2.34,-1.19,"Calsap",0.78
0.01,1.29,-1.49,0.58,2.35,-1.18,"Calsap",0.75
0.01,1.31,-1.51,0.58,2.37,-1.24,"Calsap",0.79
0.02,1.33,-1.51,0.58,2.34,-1.18,"Calsap",0.68
0.01,1.31,-1.54,0.57,2.36,-1.22,"Calsap",0.73
0.01,1.28,-1.52,0.59,2.38,-1.23,"Calsap",0.81
0,1.31,-1.52,0.56,2.36,-1.25,"Calsap",0.78
0,1.32,-1.56,0.56,2.36,-1.22,"Calsap",0.7
0,1.3,-1.52,0.58,2.33,-1.2,"Calsap",0.71
0,1.3,-1.52,0.58,2.39,-1.23,"Calsap",0.8
0.01,1.31,-1.5,0.58,2.33,-1.21,"Calsap",0.73
0,1.31,-1.52,0.57,2.33,-1.19,"Calsap",0.69
0.02,1.32,-1.52,0.56,2.4,-1.24,"Calsap",0.8
