"C_bin","q98_bin","q2_bin","C_nor","q98_nor","q2_nor","Species","diff"
-0.25,3.09,-2.84,1.12,2.87,-0.67,"Promin",-2.39
-0.27,3.02,-2.87,1.11,2.92,-0.73,"Promin",-2.24
-0.26,3.02,-2.87,1.12,2.96,-0.71,"Promin",-2.22
-0.59,1.74,-2.09,0.06,1.86,-1.75,"Promin",-0.22
-0.68,0.91,-1.93,-0.48,1.29,-2.22,"Promin",0.67
-0.25,3.08,-2.84,1.13,2.98,-0.73,"Promin",-2.21
-0.26,1.43,-2.72,-1.02,0.77,-2.77,"Promin",-0.61
-0.25,3.05,-2.86,1.11,2.94,-0.69,"Promin",-2.28
-0.02,1.76,-2.62,-0.9,0.86,-2.63,"Promin",-0.89
-0.26,3.05,-2.84,1.12,2.89,-0.69,"Promin",-2.31
0.25,2.23,-2.48,-0.77,1.03,-2.56,"Promin",-1.12
-0.25,3.07,-2.81,1.1,2.89,-0.68,"Promin",-2.31
-0.25,3.08,-2.86,1.12,2.93,-0.7,"Promin",-2.31
-0.62,0.89,-2.97,-1.26,0.46,-3.02,"Promin",-0.38
-0.49,1.93,-2.07,0.24,2.01,-1.51,"Promin",-0.48
-0.26,3.08,-2.87,1.11,2.95,-0.7,"Promin",-2.3
-0.65,0.85,-3.05,-1.3,0.48,-3.06,"Promin",-0.36
-0.62,0.87,-3.01,-1.28,0.45,-3.07,"Promin",-0.36
-0.26,3.03,-2.85,1.11,2.93,-0.71,"Promin",-2.24
-0.25,3.03,-2.84,1.12,2.93,-0.7,"Promin",-2.24
-0.25,3.08,-2.84,1.11,2.95,-0.7,"Promin",-2.27
-0.25,3.07,-2.84,1.12,2.91,-0.7,"Promin",-2.3
-0.61,0.89,-2.98,-1.28,0.47,-3.03,"Promin",-0.37
-0.26,3.03,-2.84,1.12,2.98,-0.74,"Promin",-2.15
-0.26,3.05,-2.87,1.12,2.93,-0.72,"Promin",-2.27
-0.25,3.06,-2.83,1.12,2.9,-0.66,"Promin",-2.33
-0.21,1.49,-2.7,-0.99,0.77,-2.75,"Promin",-0.67
-0.25,3,-2.85,1.12,2.88,-0.66,"Promin",-2.31
-0.33,1.28,-2.79,-1.08,0.69,-2.85,"Promin",-0.53
-0.08,1.71,-2.68,-0.92,0.86,-2.71,"Promin",-0.820000000000001
-0.26,3.04,-2.89,1.12,2.95,-0.7,"Promin",-2.28
-0.74,0.72,-3.1,-1.37,0.41,-3.11,"Promin",-0.3
-0.26,3.01,-2.85,1.12,2.92,-0.67,"Promin",-2.27
0.41,2.44,-2.41,-0.71,1.05,-2.49,"Promin",-1.31
-0.26,3.04,-2.87,1.12,2.94,-0.69,"Promin",-2.28
-0.64,0.84,-3.02,-1.28,0.47,-3.03,"Promin",-0.36
-0.65,0.83,-3.07,-1.3,0.45,-3.04,"Promin",-0.41
-0.38,1.24,-2.84,-1.1,0.67,-2.89,"Promin",-0.52
-0.27,1.4,-2.76,-1.03,0.77,-2.8,"Promin",-0.59
0.22,2.15,-2.51,-0.78,0.99,-2.55,"Promin",-1.12
-0.35,1.28,-2.84,-1.08,0.72,-2.87,"Promin",-0.53
-0.25,3.13,-2.84,1.11,2.93,-0.66,"Promin",-2.38
-0.26,3.05,-2.87,1.1,2.91,-0.77,"Promin",-2.24
-0.21,1.46,-2.68,-1,0.75,-2.77,"Promin",-0.620000000000001
-0.25,3.1,-2.82,1.11,2.96,-0.74,"Promin",-2.22
