Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Psefar
12270.93,262.3281,1
12010.31,358.4395,1
1800.197,343.8942,0
12780.75,16.83203,1
12389.75,212.0757,1
12278.31,136.895,1
1645.931,402.7142,0
12493.45,35.16211,1
12300.36,41.23828,1
11614.88,138.3872,1
12270.8,183.4292,1
12783.73,-29.31592,1
11879.22,173.1245,1
1588.491,460.6931,0
13076.16,182.1846,1
11760.25,206.0786,1
11795.68,197.9902,1
12870.8,147.6045,1
12165.99,70.67383,1
1617.373,363.8069,0
11651.24,138.3276,1
1722.496,349.4388,0
1572.576,337.4453,0
11971.79,356.7256,1
12828.02,140.7832,1
12179.65,304.2998,1
12582.62,126.8296,1
1648.117,392.751,0
12230.05,143.5269,1
1684.984,361.5977,0
1782.501,444.1065,0
12469.14,125.814,1
1685.042,331.1514,0
1615.193,410.3997,0
1478.49,290.0716,0
12355.98,156.876,1
12730.96,236.6606,1
12317.247,1631.1,
12402.53,243.106,1
12819.26,288.6353,1
12652.13,272.8604,1
12490.82,155.6494,1
12060.52,218.1699,1
13035.67,154.647,1
12424.28,54.07324,1
1698.844,372.2802,0
12039.23,310.4136,1
12286.89,314.897,1
1704.96,386.6363,0
1576.403,365.6257,0
1661.707,440.6981,0
11987.71,172.939,1
1728.477,338.2742,0
1678.445,364.0504,0
12363.23,29.74854,1
12208.34,238.103,1
12333.57,82.17773,1
12170.55,198.6304,1
12068.72,94.56152,1
1580.495,418.1747,0
1691.113,447.7522,0
12100.31,288.4199,1
11451.9,146.5981,1
1655.924,316.6924,0
12539.78,66.13672,1
1706.312,296.3585,0
1700.056,325.1346,0
12429.85,189.6382,1
12660.42,270.1567,1
12314.03,323.1807,1
1708.411,391.5852,0
12399.67,159.9658,1
1746.373,401.3299,0
12374.24,172.4575,1
12535.68,250.7354,1
1540.936,347.2163,0
13172.29,207.564,1
1664.172,399.9837,0
1713.872,419.4768,0
13129.72,242.2471,1
1756.753,400.0515,0
12037.78,70.24512,1
12409.79,315.1636,1
12343.16,130.1958,1
12370.51,226.5176,1
1694.771,443.8931,0
12232.33,170.0767,1
12722.71,138.5913,1
1722.852,382.4974,0
12551.06,60.01367,1
12399.2,67.32031,1
12591.06,-48.14014,1
12179.45,170.25,1
12513.1,-17.32471,1
12484.92,297.4473,1
12262.62,97.45947,1
12734.29,188.7524,1
1685.13,377.7779,0
12354.39,101.999,1
12565.85,253.4907,1
12345.78,149.2314,1
12359.7,96.74023,1
1761.854,350.7435,0
1661.349,408.4163,0
1658.142,404.9412,0
1661.223,360.0604,0
11832.6,241.5498,1
1755.93,402.4872,0
12283.64,145.0708,1
11686.58,120.9854,1
13075.35,294.6406,1
1614.9,414.6376,0
12389.11,150.709,1
1659.63,305.5533,0
11578.05,191.8687,1
1748.539,387.1039,0
11885.16,127.5215,1
1536.086,405.4702,0
1633.782,388.8807,0
12341.63,269.0313,1
1629.612,478.0194,0
12184.49,220.0425,1
1643.525,403.934,0
12765.21,309.6074,1
12339.61,45.34033,1
1696.88,371.838,0
11150.39,304.9893,1
1685.947,398.1434,0
12221.95,138.7974,1
12409.58,216.7993,1
1670.199,360.7319,0
12289.45,257.2476,1
12060.4,173.7275,1
12998.92,147.7778,1
12567.37,203.4312,1
11921.74,216.4502,1
13017.89,254.6055,1
11964.99,283.269,1
11891.44,188.4326,1
10738.86,147.9775,1
1664.459,262.1205,0
12456.06,16.84766,1
1619.608,347.65,0
11310.48,93.86523,1
1763.555,364.8719,0
1714.36,421.5349,0
1681.906,396.0424,0
12260.63,212.7759,1
12440.88,292.9326,1
12669.29,160.9326,1
1664.485,370.2169,0
1631.751,407.3856,0
1661.295,450.0966,0
12107.300,4253.1,
1729.69,351.4672,0
12701.32,387.6245,1
11386.66,187.918,1
11978.86,157.9409,1
12304.57,203.3232,1
1762.859,353.1616,0
12529.45,185.1138,1
12738.27,3.204102,1
12591.5,315.7104,1
12319.96,174.3838,1
12327.57,261.6206,1
1742.324,368.1018,0
1632.371,395.1113,0
1695.95,370.1329,0
12365.7,358.2515,1
1742.246,353.2798,0
12218.34,146.8662,1
11999.18,199.5146,1
11630.46,228.0825,1
12227.82,403.6079,1
1773.73,389.1376,0
11990.72,168.2441,1
12366.35,188.3208,1
1710.343,440.4332,0
1682.316,417.7855,0
1666.109,323.0292,0
1644.083,384.6431,0
12222.86,80.04199,1
1622.551,443.7302,0
1683.836,316.8876,0
11976.81,243.7476,1
1716.063,416.0784,0
1656.5,486.9819,0
12321.07,197.167,1
1601.724,431.2981,0
12290.89,123.4316,1
11918.39,267.5347,1
1796.419,424.1559,0
12402.96,106.8589,1
12080.93,302.04,1
12790.27,79.99561,1
12355.97,270.0986,1
13215.46,103.0947,1
12935.98,288.8623,1
1614.284,401.3824,0
12497.27,92.88184,1
1744.258,386.5349,0
1753.678,316.4973,0
1713.826,280.691,0
12939.21,57.67871,1
12498.34,194.375,1
1736.749,377.3229,0
11535.92,232.8921,1
12421.58,112.1304,1
12246.92,77.89404,1
13080.81,218.4209,1
11898.08,231.5967,1
11909.26,145.9102,1
12161.49,134.3901,1
12170.32,145.2188,1
1603.001,325.6497,0
1727.301,391.4092,0
1665.271,405.123,0
12894.4,165.6528,1
1810.774,355.2277,0
1673.653,287.3972,0
1642.26,322.0626,0
12480.86,114.9878,1
1545.835,385.2767,0
12528.23,90.28467,1
1638.531,379.1348,0
12802.57,196.6147,1
11595.7,143.9106,1
12239.34,159.729,1
12639.47,-27.3335,1
1730.043,395.0837,0
12475.56,225.1377,1
1679.279,253.7717,0
12488.72,144.4219,1
12615.74,309.8486,1
1723.498,440.5193,0
1572.879,388.4222,0
1658.449,382.2996,0
11802.65,103.2231,1
12588.61,12.521,1
12352.46,163.0396,1
1647.51,391.9929,0
12531.19,131.8408,1
12713.58,167.9097,1
13097.19,165.4766,1
12469.37,310.5405,1
1655.764,330.6087,0
12955.91,131.0425,1
1593.2,367.4409,0
1795.517,332.0999,0
12696.44,169.8701,1
12349.61,133.9956,1
12668.19,194.5283,1
12587.2,165.8833,1
1630.044,358.278,0
11573.67,232.6567,1
12400.01,189.5264,1
11912.97,259.502,1
12747.26,363.3267,1
12176.11,135.228,1
11767.48,254.6567,1
1715.301,331.6906,0
1534.074,330.7153,0
1654.962,305.2352,0
1636.192,386.3729,0
11880.46,220.9067,1
1719.936,374.7065,0
1562.344,377.3339,0
1661.623,401.8624,0
12169.32,298.0767,1
13159.71,317.0537,1
12495.88,128.8081,1
11972.81,261.79,1
12409.91,291.4185,1
12331.98,136.5474,1
12553.53,207.2607,1
11681.8,142.8345,1
12749.19,49.20947,1
12706.69,145.4092,1
1739.819,385.1025,0
12182.96,67.8125,1
1784.886,384.8925,0
1762.547,347.7515,0
12326.83,195.9971,1
13341.44,137.998,1
12320.03,140.2607,1
11367.93,235.2158,1
1634.447,355.287,0
1796.467,430.1328,0
11975.38,230.7119,1
1602.76,310.5233,0
12313.32,138.5332,1
1723.741,396.5395,0
