Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Psefar
1663.306,361.1997,0
1652.757,424.2122,0
1740.871,374.6534,0
1811.882,392.4071,0
1727.524,392.0745,0
1596.128,399.7654,0
1648.041,373.9286,0
1713.19,345.413,0
1673.765,267.6522,0
1670.976,340.2451,0
1686.219,357.9548,0
1630.868,421.9305,0
1658.425,315.9319,0
1743.053,354.5828,0
1674.845,378.4548,0
1661.384,340.4214,0
1653.829,356.2723,0
1741.625,363.5842,0
1705.261,416.4929,0
1720.274,399.9056,0
1555.886,381.9043,0
1669.398,365.8531,0
1719.585,349.4307,0
1637.129,327.8437,0
1707.953,354.0896,0
1614.041,364.7441,0
1607.287,360.4293,0
1686.791,375.2249,0
1729.73,382.3551,0
1577.37,368.0756,0
1737.496,455.9269,0
1620.418,270.9796,0
1580.999,363.4735,0
1584.64,337.1085,0
1672.814,399.9714,0
1645.973,341.892,0
1593.822,361.6315,0
1639.978,301.9275,0
1644.131,309.8165,0
1656.28,342.5678,0
1618.689,396.8613,0
1687.541,387.0506,0
1694.104,362.0763,0
1624.744,302.4164,0
1625.803,375.1442,0
1590.895,306.5035,0
1650.597,382.7635,0
1765.321,288.3851,0
1788.718,323.3346,0
1643.806,406.3263,0
1773.093,322.057,0
1717.078,357.1876,0
1655.279,376.985,0
1639.958,365.1423,0
1651.782,334.8687,0
1606.199,348.9614,0
1582.183,381.1241,0
1573.758,344.0927,0
1624.276,291.6308,0
1669.846,404.8759,0
1626.838,368.0013,0
1606.23,409.2177,0
1630.085,385.1982,0
1747.913,332.0776,0
1698.872,364.0626,0
1712.816,302.4526,0
1636.744,370.1266,0
1715.788,360.8298,0
1559.215,423.4333,0
1684.678,353.2137,0
1599.332,359.0953,0
1622.613,380.7213,0
1739.881,375.8353,0
1637.437,313.6343,0
1637.299,402.5673,0
1631.901,353.4187,0
1725.191,440.6425,0
1823.866,380.6027,0
1644.498,331.6378,0
1640.527,361.3716,0
1593.025,364.3731,0
1567.229,378.5034,0
1674.643,374.1282,0
1748.111,346.2806,0
1632.775,343.6356,0
1734.415,364.7559,0
1633.242,361.4531,0
1657.371,300.9194,0
1808.043,326.3864,0
1675.762,368.7213,0
1671.086,403.4951,0
1713.305,420.2052,0
1618.717,269.4781,0
1741.885,390.6112,0
1619.967,337.9753,0
1671.602,351.6899,0
1643.938,405.0099,0
1661.563,393.1126,0
1738.865,420.3664,0
1707.026,390.475,0
1742.46,302.5047,0
1702.712,373.6738,0
1671.698,393.0526,0
1605.051,395.6998,0
1728.595,317.4785,0
1635.558,420.5612,0
1646.429,357.8387,0
1695.618,373.882,0
1686.405,313.7944,0
1660.74,375.2723,0
1660.81,374.8523,0
1605.897,381.3077,0
1590.293,351.2527,0
1670.079,375.7228,0
1570.532,436.8644,0
1687.233,411.6526,0
1683.525,390.233,0
1688.385,385.0252,0
1757.246,414.97,0
1737.376,364.4959,0
1723.308,343.5244,0
1688.716,313.311,0
1849.085,282.3614,0
1701.857,419.5799,0
1625.971,315.9833,0
1655.64,370.3497,0
1585.837,403.2292,0
1704.86,362.431,0
1751.211,332.0726,0
1578.842,344.8547,0
1546.087,326.3604,0
1663.095,318.9849,0
2474.073,373.6661,0
1621.038,367.7997,0
1558.276,517.7477,0
1710.851,346.4404,0
1570.674,376.7595,0
1644.801,381.866,0
1652.431,317.3401,0
1744.189,426.8014,0
1645.637,348.6129,0
1615.189,345.8389,0
1662.245,430.6263,0
1673.953,288.6691,0
1587.936,329.4355,0
