Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Colper
1055.092,288.1293,0
1082.22,349.121,0
1085.044,301.2332,0
1216.235,389.4701,0
1161.118,351.6118,0
1201.296,368.4763,0
1114.529,311.3487,0
1132.92,338.5569,0
1096.907,260.3704,0
1164.22,348.3187,0
1066.024,327.8488,0
1024.916,378.0939,0
1173.02,348.0271,0
1070.989,288.373,0
1160.564,313.2504,0
1282.667,352.5348,0
1152.668,348.3962,0
1109.119,341.463,0
1091.257,331.873,0
1040.472,301.2921,0
1122.126,375.6904,0
1132.484,268.9065,0
1146.35,382.3427,0
1196.067,354.5308,0
1062.818,385.5416,0
1201.795,353.8034,0
1102.281,319.9444,0
1121.491,375.9122,0
1180.82,424.7134,0
1021.402,300.1506,0
1171.916,311.3373,0
1094.038,450.0299,0
1088.081,247.9872,0
1210.452,393.3585,0
1152.388,372.9038,0
1166.393,414.9576,0
1072.668,379.9188,0
1114.677,359.3334,0
1179.108,243.0021,0
1182.191,334.2107,0
1030.902,318.7144,0
1070.366,263.8759,0
1191.05,332.8199,0
1236.991,355.8965,0
1044.142,272.5753,0
1193.111,334.7736,0
1202.412,379.6979,0
1135.778,415.2171,0
1134.487,314.045,0
1192.657,352.3268,0
1067.376,241.5029,0
1095.294,356.4865,0
1141.571,355.9828,0
1077.288,317.4401,0
1140.995,266.1721,0
1242.402,376.9012,0
1213.718,398.065,0
1190.5,328.2535,0
1104.998,261.746,0
1180.615,358.5255,0
1113.391,389.1136,0
1021.592,295.9874,0
1070.632,309.0404,0
1196.063,365.933,0
1120.894,356.1431,0
1200.525,322.7533,0
1197.665,370.688,0
1184.812,354.5757,0
1228.889,365.3757,0
1110.012,287.9339,0
1153.695,304.2148,0
1090.927,326.558,0
1206.088,281.171,0
1231.463,401.917,0
1122.845,332.9394,0
1153.411,368.2064,0
1118.873,312.2266,0
1128.984,387.2116,0
1168.222,311.4745,0
1103.551,404.5469,0
1164.683,312.1253,0
1199.759,400.1986,0
1201.297,405.3815,0
1087.788,320.3633,0
1139.156,313.8958,0
1139.932,411.9216,0
1076.935,280.8339,0
1209.202,411.7054,0
1187.876,346.9351,0
1144.221,323.4807,0
1102.7,268.7586,0
1108.868,377.2545,0
1201.659,434.3152,0
1122.938,302.2408,0
1124.755,434.0215,0
1187.952,327.2755,0
1135.169,408.688,0
1097.618,360.403,0
1125.051,336.3647,0
1151.462,374.2021,0
1186.826,354.0991,0
1253.648,351.2095,0
1105.409,370.1391,0
1027.925,342.7694,0
1137.48,325.0663,0
1235.433,319.4905,0
1115.252,288.7455,0
1161.758,419.4474,0
1187.755,317.0812,0
1147.807,395.7189,0
1080.051,332.8253,0
1095.726,312.3731,0
1149.24,347.5941,0
1159.726,377.0033,0
1107.034,329.652,0
1149.322,355.7161,0
1189.698,348.0688,0
1152.884,387.3204,0
1170.115,273.6948,0
1113.404,301.2708,0
1285.961,472.5471,0
1194.216,323.9124,0
1159.642,426.8665,0
1170.127,390.0509,0
1120.961,309.0411,0
1039.528,414.6095,0
1114.908,373.2121,0
1107.166,380.9531,0
1179.271,363.8572,0
1239.95,345.5512,0
1162.967,311.064,0
1130.572,339.317,0
1162.273,365.4683,0
1136.806,451.9684,0
1180.129,353.9021,0
1167.025,368.8929,0
1146.456,363.3929,0
1143.432,275.5649,0
1136.504,294.5712,0
1085.121,328.8094,0
1118.189,308.2078,0
1164.756,362.9793,0
1251.181,304.3398,0
1126.449,403.212,0
1086.08,333.409,0
1223.203,353.5181,0
1209.337,319.0951,0
1061.888,323.202,0
1100.629,345.8339,0
1083.414,334.2427,0
1065.372,346.8034,0
1232.273,372.7883,0
1107.073,319.8374,0
1182.252,369.6066,0
1184.784,337.5578,0
1102.275,405.7291,0
1155.195,294.7552,0
1215.239,356.285,0
1098.046,273.2076,0
1228.85,380.7292,0
1102.431,352.9419,0
1171.805,318.8114,0
1188.409,379.1641,0
