Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	
B8	Hemtak_F0.4uM_R0.8uM_P2.5uM  Qty or ID	Unknown	20	0.0666	29.12	
C7	Hemtak_F0.6uM_R0.8uM_P2.5uM  Qty or ID	Unknown	21	0.0666	29.31	
C8	Hemtak_F0.6uM_R0.8uM_P2.5uM  Qty or ID	Unknown	21	0.0666	29.22	
D7	Hemtak_F0.8uM_R0.8uM_P2.5uM  Qty or ID	Unknown	22	0.0666	29.44	
D8	Hemtak_F0.8uM_R0.8uM_P2.5uM  Qty or ID	Unknown	22	0.0666	29.51	
E7	Hemtak_F1.0uM_R0.8uM_P2.5uM  Qty or ID	Unknown	23	0.0666	29.67	
E8	Hemtak_F1.0uM_R0.8uM_P2.5uM  Qty or ID	Unknown	23	0.0666	29.46	
F7	Hemtak_F1.2uM_R0.8uM_P2.5uM  Qty or ID	Unknown	24	0.0666	29.83	
F8	Hemtak_F1.2uM_R0.8uM_P2.5uM  Qty or ID	Unknown	24	0.0666	29.75	
A9	Hemtak_F0.2uM_R1.0uM_P2.5uM  Qty or ID	Unknown	25	0.0666	28.37	
A10	Hemtak_F0.2uM_R1.0uM_P2.5uM  Qty or ID	Unknown	25	0.0666	28.24	
B9	Hemtak_F0.4uM_R1.0uM_P2.5uM  Qty or ID	Unknown	26	0.0666	28.83	
B10	Hemtak_F0.4uM_R1.0uM_P2.5uM  Qty or ID	Unknown	26	0.0666	28.89	
C9	Hemtak_F0.6uM_R1.0uM_P2.5uM  Qty or ID	Unknown	27	0.0666	29.34	
C10	Hemtak_F0.6uM_R1.0uM_P2.5uM  Qty or ID	Unknown	27	0.0666	29.23	
D9	Hemtak_F0.8uM_R1.0uM_P2.5uM  Qty or ID	Unknown	28	0.0666	29.48	
D10	Hemtak_F0.8uM_R1.0uM_P2.5uM  Qty or ID	Unknown	28	0.0666	29.45	
E9	Hemtak_F1.0uM_R1.0uM_P2.5uM  Qty or ID	Unknown	29	0.0666	29.82	
E10	Hemtak_F1.0uM_R1.0uM_P2.5uM  Qty or ID	Unknown	29	0.0666	29.45	
F9	Hemtak_F1.2uM_R1.0uM_P2.5uM  Qty or ID	Unknown	30	0.0666	29.50	
F10	Hemtak_F1.2uM_R1.0uM_P2.5uM  Qty or ID	Unknown	30	0.0666	29.68	
A11	Hemtak_F0.2uM_R1.2uM_P2.5uM  Qty or ID	Unknown	31	0.0666	28.24	
A12	Hemtak_F0.2uM_R1.2uM_P2.5uM  Qty or ID	Unknown	31	0.0666	28.30	
B11	Hemtak_F0.4uM_R1.2uM_P2.5uM  Qty or ID	Unknown	32	0.0666	28.87	
B12	Hemtak_F0.4uM_R1.2uM_P2.5uM  Qty or ID	Unknown	32	0.0666	28.79	
C11	Hemtak_F0.6uM_R1.2uM_P2.5uM  Qty or ID	Unknown	33	0.0666	29.26	
C12	Hemtak_F0.6uM_R1.2uM_P2.5uM  Qty or ID	Unknown	33	0.0666	29.27	
D11	Hemtak_F0.8uM_R1.2uM_P2.5uM  Qty or ID	Unknown	34	0.0666	29.26	
D12	Hemtak_F0.8uM_R1.2uM_P2.5uM  Qty or ID	Unknown	34	0.0666	29.41	
E11	Hemtak_F1.0uM_R1.2uM_P2.5uM  Qty or ID	Unknown	35	0.0666	29.38	
E12	Hemtak_F1.0uM_R1.2uM_P2.5uM  Qty or ID	Unknown	35	0.0666	29.48	
F11	Hemtak_F1.2uM_R1.2uM_P2.5uM  Qty or ID	Unknown	36	0.0666	29.73	
F12	Hemtak_F1.2uM_R1.2uM_P2.5uM  Qty or ID	Unknown	36	0.0666	29.63	
