Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	
E8	Homame_F2.5uM_R2.0uM_P2.5uM	Unknown	23	0.3256	26.67	
F7	Homame_F3.0uM_R2.0uM_P2.5uM	Unknown	24	0.3256	26.64	
F8	Homame_F3.0uM_R2.0uM_P2.5uM	Unknown	24	0.3256	26.55	
A9	Homame_F0.5uM_R2.5uM_P2.5uM	Unknown	25	0.3256	26.40	
A10	Homame_F0.5uM_R2.5uM_P2.5uM	Unknown	25	0.3256	26.38	
B9	Homame_F1.0uM_R2.5uM_P2.5uM	Unknown	26	0.3256	26.37	
B10	Homame_F1.0uM_R2.5uM_P2.5uM	Unknown	26	0.3256	26.34	
C9	Homame_F1.5uM_R2.5uM_P2.5uM	Unknown	27	0.3256	26.61	
C10	Homame_F1.5uM_R2.5uM_P2.5uM	Unknown	27	0.3256	26.40	
D9	Homame_F2.0uM_R2.5uM_P2.5uM	Unknown	28	0.3256	26.56	
D10	Homame_F2.0uM_R2.5uM_P2.5uM	Unknown	28	0.3256	26.66	
E9	Homame_F2.5uM_R2.5uM_P2.5uM	Unknown	29	0.3256	26.58	
E10	Homame_F2.5uM_R2.5uM_P2.5uM	Unknown	29	0.3256	26.51	
F9	Homame_F3.0uM_R2.5uM_P2.5uM	Unknown	30	0.3256	26.51	
F10	Homame_F3.0uM_R2.5uM_P2.5uM	Unknown	30	0.3256	26.52	
A11	Homame_F0.5uM_R3.0uM_P2.5uM	Unknown	31	0.3256	26.25	
A12	Homame_F0.5uM_R3.0uM_P2.5uM	Unknown	31	0.3256	26.22	
B11	Homame_F1.0uM_R3.0uM_P2.5uM	Unknown	32	0.3256	26.35	
B12	Homame_F1.0uM_R3.0uM_P2.5uM	Unknown	32	0.3256	26.44	
C11	Homame_F1.5uM_R3.0uM_P2.5uM	Unknown	33	0.3256	26.38	
C12	Homame_F1.5uM_R3.0uM_P2.5uM	Unknown	33	0.3256	26.48	
D11	Homame_F2.0uM_R3.0uM_P2.5uM	Unknown	34	0.3256	26.48	
D12	Homame_F2.0uM_R3.0uM_P2.5uM	Unknown	34	0.3256	26.57	
E11	Homame_F2.5uM_R3.0uM_P2.5uM	Unknown	35	0.3256	26.56	
E12	Homame_F2.5uM_R3.0uM_P2.5uM	Unknown	35	0.3256	26.51	
F11	Homame_F3.0uM_R3.0uM_P2.5uM	Unknown	36	0.3256	26.53	
F12	Homame_F3.0uM_R3.0uM_P2.5uM	Unknown	36	0.3256	26.40	
