Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	
F9	Hemsan_F1.2uM_R1.0uM_P2.5uM  Qty or ID	Unknown	30	0.0184	31.08	
F10	Hemsan_F1.2uM_R1.0uM_P2.5uM  Qty or ID	Unknown	30	0.0184	30.63	
A11	Hemsan_F0.2uM_R1.2uM_P2.5uM  Qty or ID	Unknown	31	0.0184	28.79	
A12	Hemsan_F0.2uM_R1.2uM_P2.5uM  Qty or ID	Unknown	31	0.0184	28.55	
B11	Hemsan_F0.4uM_R1.2uM_P2.5uM  Qty or ID	Unknown	32	0.0184	29.78	
B12	Hemsan_F0.4uM_R1.2uM_P2.5uM  Qty or ID	Unknown	32	0.0184	29.80	
C11	Hemsan_F0.6uM_R1.2uM_P2.5uM  Qty or ID	Unknown	33	0.0184	30.02	
C12	Hemsan_F0.6uM_R1.2uM_P2.5uM  Qty or ID	Unknown	33	0.0184	30.08	
D11	Hemsan_F0.8uM_R1.2uM_P2.5uM  Qty or ID	Unknown	34	0.0184	30.47	
D12	Hemsan_F0.8uM_R1.2uM_P2.5uM  Qty or ID	Unknown	34	0.0184	30.37	
E11	Hemsan_F1.0uM_R1.2uM_P2.5uM  Qty or ID	Unknown	35	0.0184	31.43	
E12	Hemsan_F1.0uM_R1.2uM_P2.5uM  Qty or ID	Unknown	35	0.0184	30.72	
F11	Hemsan_F1.2uM_R1.2uM_P2.5uM  Qty or ID	Unknown	36	0.0184	30.66	
F12	Hemsan_F1.2uM_R1.2uM_P2.5uM  Qty or ID	Unknown	36	0.0184	30.88	
