smplNm,mcp_ddPCR,mcp_qPCR,sdmn_ddPCR,sdmn_qPCR,sdmx_ddPCR,sdmx_qPCR,smplTp,qlod,f2,mcp_ddPCR_lod,spcAbbr
MST2021-076,31.27604961395265,32.636189452896616,28.18252325057985,22.20346721347322,34.5895218849182,43.068911692320015,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-079,0.373993255198002,0.07832685468695189,0.1013498194515705,-0.0324440455093621,0.93091331422329,0.18909775488326586,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-081,682.213439941405,332.14711501001915,664.146041870115,298.4458478308761,700.33645629883,365.8483821891622,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-082,666.3147735595701,666.243597790828,648.9817047119151,446.9296557934897,683.69903564453,885.5575397881662,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-083,21478.22998046875,20174.6987710459,21189.55322265625,17276.548049349058,21781.80419921875,23072.849492742742,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-085,204.865303039551,215.0592831000124,196.5486907958985,205.90837263743822,213.19372177123998,224.2101935625866,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-088,5.8852958679199,3.3648603037080886,4.570979475975035,2.970583446986981,7.43064284324645,3.759137160429196,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-089,0.7263957709073999,0.2377348320724874,0.315244719386101,0.1524156271524941,1.3965754210948949,0.3230540369924807,MST,1,0.5659454818421379,0.2,Mnelei
MST2021-099,2165.85494995117,1654.4472919185164,2137.193450927735,1436.292294218831,2194.656829833985,1872.6022896182017,MST,1,0.5659454818421379,0.2,Mnelei
NEKfeb2022,0,0,0,0,0.49430884420871746,0,MST,1,0.5659454818421379,0.2,Mnelei
NTC,0,0,0,0,0.429666265845299,0,MST,1,0.5659454818421379,0.2,Mnelei
stdE-1,0,0.009432424697368965,0,-0.013672202848411035,0.5104773491621,0.03253705224314896,STD,1,0.5659454818421379,0.2,Mnelei
stdE0,1.4551274478435499,0.5659454818421379,0.8355629444122301,0.5659454818421379,2.32437416911125,0.5659454818421379,STD,1,0.5659454818421379,0.2,Mnelei
stdE1,5.69622099399565,5.659454818421379,4.424145221710205,5.659454818421379,7.19189047813415,5.659454818421379,STD,1,0.5659454818421379,0.2,Mnelei
stdE2,59.752984046936,56.59454818421379,55.337553024292,56.59454818421379,64.1717290878295,56.59454818421379,STD,1,0.5659454818421379,0.2,Mnelei
stdE3,551.458015441895,565.9454818421378,537.742462158205,565.9454818421378,565.205612182615,565.9454818421378,STD,1,0.5659454818421379,0.2,Mnelei
stdE4,6115.6433105469005,5659.454818421379,6057.5476074219005,5659.454818421379,6174.31884765625,5659.454818421379,STD,1,0.5659454818421379,0.2,Mnelei
stdE5,5000000,56594.54818421379,55350.7177734375,56594.54818421379,5000000,56594.54818421379,STD,1,0.5659454818421379,0.2,Mnelei
