Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Hemsan
2358.716,350.7614,0
2315.867,343.0627,0
2415.381,324.2981,0
2324.95,352.1729,0
2284.776,271.4718,0
2233.919,263.3916,0
2487.483,364.524,0
2361.252,346.04,0
2278.881,334.3347,0
2325.186,363.2406,0
2454.692,300.3099,0
2274.63,260.5222,0
2511.486,327.5236,0
2269.231,322.9496,0
2333.432,279.955,0
2395.598,227.0437,0
2273.067,322.1371,0
2278.998,274.5736,0
2461.875,258.6759,0
2365.848,290.4906,0
2349.112,301.1597,0
2311.831,413.6383,0
2508.339,244.507,0
2399.958,299.1892,0
2324.952,449.5936,0
2440.42,353.4098,0
2477.986,280.5802,0
2234.767,351.1628,0
2332.932,277.2883,0
2350.998,321.1343,0
2132.727,334.8999,0
2342.417,357.9392,0
2421.426,358.6262,0
2316.631,354.3767,0
2414.075,400.0693,0
2425.178,277.8704,0
2406.38,308.5471,0
2260.433,327.5825,0
2325.56,287.468,0
2348.882,302.7905,0
2441.391,307.2656,0
2351.361,374.8699,0
2425.881,314.0708,0
2472.464,258.5093,0
2427.447,282.2483,0
2382.178,256.3676,0
2335.074,371.7308,0
2349.991,351.9247,0
2411.273,330.8395,0
2236.083,375.0223,0
2338.964,281.8136,0
2368.959,362.0688,0
2389.066,253.8605,0
2281.208,356.6312,0
2520.371,268.1427,0
2371.403,333.7319,0
2315.771,226.9941,0
2359.542,289.863,0
2355.161,320.645,0
2263.999,305.4106,0
2337.056,297.2994,0
2428.43,354.5614,0
2418.25,352.681,0
2305.241,303.9606,0
2484.773,305.5457,0
2264.363,325.2634,0
2251.775,330.3856,0
2499.22,260.88,0
2247.894,342.3164,0
2306.399,294.0027,0
2300.601,351.3344,0
2401.817,333.6718,0
2337.128,293.1946,0
2366.326,378.6038,0
2405.969,321.074,0
2309.059,313.2163,0
2363.906,309.4218,0
2274.428,392.4742,0
2397.425,325.707,0
2419.607,282.3037,0
2219.72,393.0366,0
2534.91,327.4504,0
2235.221,235.8882,0
2444.914,196.7377,0
2273.382,298.0999,0
2290.533,287.1006,0
2257.583,287.894,0
2437.49,302.9142,0
2404.902,350.5028,0
2407.709,334.4464,0
2490.051,311.1891,0
2359.121,255.8237,0
2408.372,358.6217,0
2463.62,285.1464,0
2309.986,305.5344,0
2255.819,303.8792,0
2333.026,271.8196,0
2382.916,379.3243,0
2281.292,311.1002,0
2252.299,307.3783,0
2466.459,309.9109,0
2444.087,330.7377,0
2327.976,337.3466,0
2269.796,246.4938,0
2399.847,253.8912,0
2303.984,325.8528,0
2349.451,268.984,0
2402.91,365.1808,0
2416.076,267.4353,0
2422.447,275.1927,0
2517.592,345.0275,0
2496.056,298.6558,0
2277.579,341.4974,0
2182.9,376.2968,0
2324.046,333.6287,0
2336.584,304.3755,0
2331.478,364.3285,0
2253.983,387.798,0
2363.333,336.2699,0
2504.964,307.6736,0
2401.091,370.968,0
2415.088,324.2533,0
2538.83,267.7778,0
2310.574,310.0444,0
2323.844,264.6449,0
2297.147,367.6497,0
2347.363,269.1981,0
2423.862,308.8911,0
2370.186,331.5519,0
2391.39,347.5844,0
2520.296,292.0012,0
2405.59,276.8057,0
2317.125,348.714,0
2484.801,212.8693,0
2405.922,334.4738,0
2341.198,326.2168,0
2268.638,322.6993,0
2483.687,299.3237,0
2203.823,265.2288,0
2399.487,291.1477,0
2370.6,278.3149,0
2333.253,285.6842,0
2368.645,301.462,0
2319.873,332.646,0
2253.763,331.7987,0
2285.568,267.0442,0
2387.566,309.9414,0
2396.227,306.1656,0
2347.741,379.1818,0
2419.401,295.2396,0
2465.996,295.2416,0
2271.038,388.4902,0
2446.299,281.7388,0
2456.627,322.7893,0
2389.521,303.0957,0
2396.474,248.6561,0
2434.064,267.5264,0
2299.528,257.0331,0
2550.828,253.2,0
2235.265,327.2242,0
2127.073,307.012,0
2338.681,307.6068,0
2333.495,331.8661,0
2235.864,325.6726,0
2354.199,296.1329,0
2336.267,328.2631,0
2392.104,229.8232,0
2415.847,335.4417,0
2220.627,236.1433,0
2497.423,284.2499,0
2312.833,288.8889,0
2192.406,271.9574,0
2312.326,259.4608,0
2391.759,288.1754,0
2461.269,314.5659,0
2233.063,293.6338,0
2349.727,369.6798,0
2308.865,286.916,0
2244.644,342.8602,0
2273.176,365.2058,0
2380.781,236.6989,0
2333.253,269.7804,0
2345.687,277.7225,0
2467.534,253.0815,0
2297.99,308.1951,0
2300.797,389.0116,0
2269.071,386.1875,0
2411.066,340.6598,0
2538.68,271.3274,0
2404.814,322.7953,0
2252.024,316.5591,0
2472.744,259.5688,0
2368.254,295.0972,0
2324.418,283.3386,0
2292.999,356.8671,0
2332.835,366.41,0
2317.729,377.7085,0
2487.604,242.5555,0
2239.597,279.5073,0
2331.829,368.8522,0
2337.711,320.2729,0
2402.946,350.7377,0
2416.786,331.762,0
2397.284,382.0587,0
2326.796,293.3944,0
2261.055,334.9988,0
2357.23,276.6881,0
2387.6,369.6038,0
2257.1,322.8652,0
2371.591,342.4961,0
2266.421,303.062,0
2252.939,385.6946,0
2328.407,309.0914,0
2233.107,381.0001,0
2556.509,238.0305,0
2651.637,452.2106,0
2367.728,294.8938,0
2399.656,329.7412,0
2300.534,305.3413,0
2166.877,280.8043,0
2420.796,325.4353,0
2289.151,333.2974,0
2317.753,320.9353,0
2267.528,281.7327,0
2250.287,272.8414,0
2359.795,286.8423,0
2493.665,269.9166,0
2183.969,410.0923,0
2390.438,369.0477,0
2184.818,362.5475,0
2523.105,284.7961,0
2362.01,346.795,0
2300.378,309.1069,0
2322.794,270.7915,0
2333.943,278.8873,0
2341.464,381.1388,0
2332.618,394.2021,0
2405.556,297.9117,0
2460.356,257.8743,0
2422.465,316.8328,0
2364.527,311.7416,0
2265.847,336.0818,0
2311.281,356.7148,0
2436.607,351.3911,0
2491.358,314.0741,0
2367.885,275.92,0
2509.96,206.6289,0
2291.053,226.8822,0
2163.185,256.2505,0
2390.354,4641.0,
2312.435,316.1082,0
2590.354,263.1841,0
2359.305,343.8604,0
2254.459,342.1046,0
2400.116,236.8873,0
2471.854,274.651,0
2364.724,313.3976,0
2297.761,331.5391,0
2411.767,260.5664,0
2147.231,317.1362,0
2442.805,256.5874,0
2323.026,338.3251,0
2292.265,341.2969,0
2404.324,346.7616,0
2316.532,367.374,0
2338.504,325.4574,0
2307.473,348.6918,0
2315.319,315.4697,0
2192.427,310.228,0
2293.01,366.7279,0
2279.142,370.1823,0
2414.564,298.6637,0
2381.813,330.0382,0
2364.316,316.8885,0
2302.479,356.2954,0
2281.811,332.1465,0
2250.174,271.1049,0
2484.084,229.7028,0
2255.153,420.1884,0
2258.397,230.24,0
2399.877,298.6792,0
2317.893,311.2324,0
2202.866,325.166,0
2320.664,271.5615,0
2343.403,311.3573,0
2478.352,308.9506,0
2436.585,350.0363,0
2295.765,354.7008,0
2305.244,343.1239,0
2219.962,305.6379,0
2504.081,347.7048,0
2318.591,313.9215,0
2464.583,253.9375,0
2379.295,270.6816,0
2377.275,307.2908,0
2478.014,337.2333,0
2353.659,327.3604,0
2352.601,288.6802,0
2346.853,274.2733,0
2422.013,222.2852,0
2435.649,339.6718,0
2576.824,248.1438,0
