"U_Pr_Nr";"Navn_Inds";"skib";"Inst";"Dato_inds";"Lok_omr01";"lokalitet_vanda";"lok_pos_lat";"lok_pos_lon";"max_Dyb";"Dyb_Str_m";"Vwf_mL";"vandsoejllagd";"Dyb_lagd01";"dato_80C";"Temp_Inds";"Bemaerkn";"MST.nummer";"MST.n_Dinds"
"55";"MST0079";"JAROB_20629477";"LIV_II";"Fyn";"2018-04-24";"DSoe";"96510125";55.027358;10.377598;16.2;15.4;"1425";"no";"not_avail";"08/05/2018";8.9;NA;"MST0079";"MST0079_2018-04-24"
"56";"MST0078";"JAROB_20629477";"LIV_II";"Fyn";"2018-04-24";"DSoe";"96510125";55.027358;10.377598;16.2;15.4;"1450";"no";"not_avail";"08/05/2018";8.9;NA;"MST0078";"MST0078_2018-04-24"
"60";"MST0084";"ulbje";"Musling";"Midtjylland";"2018-04-25";"Nissum_bredning";"93770056";56.600833;8.414833;6.1;5;"700";"no";NA;"26/04/2018";8.3;"Opslemmet_sediment_pga_blaest";"MST0084";"MST0084_2018-04-25"
"61";"MST0072";"ulbje";"Musling";"Midtjylland";"2018-04-25";"Nissum_bredning";"93770056";56.600833;8.414833;6.1;5;"400";"no";NA;"26/04/2018";8.3;"Opslemmet_sediment_pga_blaest";"MST0072";"MST0072_2018-04-25"
"62";"MST0050";"ulbje";"Musling";"Midtjylland";"2018-04-25";"Nissum_bredning";"93770056";56.600833;8.414833;6.1;5;"400";"no";NA;"26/04/2018";8.3;"Opslemmet_sediment_pga_blaest";"MST0050";"MST0050_2018-04-25"
"63";"MST0052";"Vagn_Pedersen";"Liv_ll";"MST_FYN";"2018-05-03";"Storebaelt_NV";"96700057";55.440283;10.803883;18.6;17.6;"1675";"yes";"8.6";"08/05/2018";5.7;NA;"MST0052";"MST0052_2018-05-03"
"64";"MST0083";"Vagn_Pedersen";"Liv_ll";"MST_FYN";"2018-05-03";"Storebaelt_NV";"96700057";55.440283;10.803883;18.6;17.6;"1700";"yes";"8.6";"08/05/2018";5.7;NA;"MST0083";"MST0083_2018-05-03"
"65";"MST0063";"Vagn_Pedersen";"Liv_ll";"MST_FYN";"2018-05-03";"Storebaelt_NV";"96700057";55.440283;10.803883;18.6;17.6;"1750";"yes";"8.6";"08/05/2018";5.7;NA;"MST0063";"MST0063_2018-05-03"
"66";"MST0093";"PHELD";"DAPHNE";"MST_SJaeLLAND";"2018-05-14";"oeresund_Ven_KBH431";"97200002";55.865833;12.749167;53.5;1;"1500";"yes";"11.4";"14/05/2018";13;NA;"MST0093";"MST0093_2018-05-14"
"67";"MST0100";"PHELD";"DAPHNE";"MST_SJaeLLAND";"2018-05-14";"oeresund_Ven_KBH431";"97200002";55.865833;12.749167;53.5;1;"1500";"yes";"11.4";"14/05/2018";13;NA;"MST0100";"MST0100_2018-05-14"
"68";"MST0298";"PHELD";"DAPHNE";"MST_SJaeLLAND";"2018-05-14";"oeresund_Ven_KBH431";"97200002";55.865833;12.749167;53.5;1;"1500";"yes";"11.4";"14/05/2018";13;NA;"MST0298";"MST0298_2018-05-14"
"69";"MST0066";"Jane_Robertsen";"Liv_II";"MST_FYN";"2018-05-14";"FYN6300043_Sydlige_Lillebaelt";"95600002";54.997777;10.160775;34.6;1;"1400";"yes";"18.0";"16/05/2018";12.1;"Sendt_til_Eurofins_d_16_05_2018";"MST0066";"MST0066_2018-05-14"
"70";"MST0065";"Jane_Robertsen";"Liv_II";"MST_FYN";"2018-05-14";"FYN6300043_Sydlige_Lillebaelt";"95600002";54.997777;10.160775;34.6;1;"1350";"yes";"18.0";"16/05/2018";12.1;"Sendt_til_Eurofins_d_16_05_2018";"MST0065";"MST0065_2018-05-14"
"71";"MST0080";"Jane_Robertsen";"Liv_II";"MST_FYN";"2018-05-14";"FYN6300043_Sydlige_Lillebaelt";"95600002";54.997777;10.160775;34.6;1;"1525";"yes";"18.0";"16/05/2018";12.1;"Sendt_til_Eurofins_d_16_05_2018";"MST0080";"MST0080_2018-05-14"
"72";"MST0092";"Ulrich_Berggren_Jensen";"Daphne";"MSE";"2018-05-15";"VSJ20925";"93000001";56.131333;11.157833;49;1;"1500";"yes";"4.0";"15/05/2018";12.8;NA;"MST0092";"MST0092_2018-05-15"
"73";"MST0101";"Ulrich_Berggren_Jensen";"Daphne";"MSE";"2018-05-15";"VSJ20925";"93000001";56.131333;11.157833;49;1;"1500";"yes";"4.0";"15/05/2018";12.8;NA;"MST0101";"MST0101_2018-05-15"
"74";"MST0288";"Ulrich_Berggren_Jensen";"Daphne";"MSE";"2018-05-15";"VSJ20925";"93000001";56.131333;11.157833;49;1;"1500";"yes";"4.0";"15/05/2018";12.8;NA;"MST0288";"MST0288_2018-05-15"
"75";"MST0070";"Jane_Robertsen";"Liv_II";"MST_oestjylland";"2018-05-15";"ARH170006_Molshoved_Aarhus_bugt";"94400007";56.15487;10.318345;16.4;1;"1500";"yes";"2.5";"16/05/2018";14.6;"Sendt_til_Eurofins_d_16_05_2018";"MST0070";"MST0070_2018-05-15"
"76";"MST0077";"Jane_Robertsen";"Liv_II";"MST_oestjylland";"2018-05-15";"ARH170006_Molshoved_Aarhus_bugt";"94400007";56.15487;10.318345;16.4;1;"1450";"yes";"2.5";"16/05/2018";14.6;"Sendt_til_Eurofins_d_16_05_2018";"MST0077";"MST0077_2018-05-15"
"77";"MST0085";"Jane_Robertsen";"Liv_II";"MST_oestjylland";"2018-05-15";"ARH170006_Molshoved_Aarhus_bugt";"94400007";56.15487;10.318345;16.4;1;"1550";"yes";"2.5";"16/05/2018";14.6;"Sendt_til_Eurofins_d_16_05_2018";"MST0085";"MST0085_2018-05-15"
"78";"MST0297";"Mie_Kjaer_Hoehne";"Haig";"MST_Sydjylland";"2018-05-15";"RIB1510007";"91500007";55.33885;8.349417;6.2;1;"1500";"no";NA;NA;15.7;NA;"MST0297";"MST0297_2018-05-15"
"79";"MST0286";"Mie_Kjaer_Hoehne";"Haig";"MST_Sydjylland";"2018-05-15";"RIB1510007";"91500007";55.33885;8.349417;6.2;1;"1500";"no";NA;NA;15.7;NA;"MST0286";"MST0286_2018-05-15"
"80";"MST0291";"Mie_Kjaer_Hoehne";"Haig";"MST_Sydjylland";"2018-05-15";"RIB1510007";"91500007";55.33885;8.349417;6.2;1;"1500";"no";NA;NA;17.7;NA;"MST0291";"MST0291_2018-05-15"
"81";"MST0115";"jepni_benje";"Penelope";"Midtjylland";"2018-05-15";"RKB1_Ringkoebing_fjord";"91320001";56.076167;8.224333;3.1;1;"600";"no";NA;"15/05/2018";17.8;NA;"MST0115";"MST0115_2018-05-15"
"82";"MST2017289";"jepni_benje";"Penelope";"Midtjylland";"2018-05-15";"RKB1_Ringkoebing_fjord";"91320001";56.076167;8.224333;3.1;1;"600";"no";NA;"15/05/2018";17.8;NA;"MST2017289";"MST2017289_2018-05-15"
"83";"MST2017290";"jepni_benje";"Penelope";"Midtjylland";"2018-05-15";"RKB1_Ringkoebing_fjord";"91320001";56.076167;8.224333;3.1;1;"650";"no";NA;"15/05/2018";17.8;NA;"MST2017290";"MST2017290_2018-05-15"
"84";"MST0150";"JAROB_20629477";"LIV_II";"MST_oest";"2018-05-16";"VEJ0006870";"94300001";55.67411;10.09041;19.8;1;NA;"yes";"8.5";"16/05/2018";15.1;"Sendt_til_Eurofins_d_16_05_2018";"MST0150";"MST0150_2018-05-16"
"85";"MST0162";"JAROB_20629477";"LIV_II";"MST_oest";"2018-05-16";"VEJ0006870";"94300001";55.67411;10.09041;19.8;1;NA;"yes";"8.5";"16/05/2018";15.1;"Sendt_til_Eurofins_d_16_05_2018";"MST0162";"MST0162_2018-05-16"
"86";"MST0229";"JAROB_20629477";"LIV_II";"MST_oest";"2018-05-16";"VEJ0006870";"94300001";55.67411;10.09041;19.8;1;NA;"yes";"8.5";"16/05/2018";15.1;"Sendt_til_Eurofins_d_16_05_2018";"MST0229";"MST0229_2018-05-16"
"87";"MST0047";"PHELD";"DAPHNE";"MST_FYN";"2018-05-23";"Arkona_DMU444";"99000052";55.015833;13.296667;46.3;45.2;"1500";"yes";"42.0";"23/05/2018";5;NA;"MST0047";"MST0047_2018-05-23"
"88";"MST0069";"PHELD";"DAPHNE";"MST_FYN";"2018-05-23";"Arkona_DMU444";"99000052";55.015833;13.296667;46.3;45.2;"1500";"yes";"42.0";"23/05/2018";5;NA;"MST0069";"MST0069_2018-05-23"
"89";"MST0091";"PHELD";"DAPHNE";"MST_FYN";"2018-05-23";"Arkona_DMU444";"99000052";55.015833;13.296667;46.3;45.2;"1500";"yes";"42.0";"23/05/2018";5;NA;"MST0091";"MST0091_2018-05-23"
"90";"MST0126";"Lasse_oersted_Jensen";"Fucus";"MST_Sydjylland";"2018-05-25";"LISD0027";"91650035";55.0933;8.56825;1.4;0.4;"300";"no";NA;NA;17;"no_kun_nummer";"MST0126";"MST0126_2018-05-25"
"91";"MST0124";"Lasse_oersted_Jensen";"Fucus";"MST_Sydjylland";"2018-05-25";"LISD0027";"91650035";55.0933;8.56825;1.4;0.4;"300";"no";NA;NA;17;"no_kun_nummer";"MST0124";"MST0124_2018-05-25"
"92";"MST0270";"Lasse_oersted_Jensen";"Fucus";"MST_Sydjylland";"2018-05-25";"LISD0027";"91650035";55.0933;8.56825;1.4;0.4;"300";"no";NA;NA;17;"no_kun_nummer";"MST0270";"MST0270_2018-05-25"
"93";"MST0281";"geped";"Musling";"oestjylland";"2018-05-28";"Ebeltoft_vig";"94510035";56.183983;10.59145;12;11;"1150";"yes";"6.0";"29/05/2018";7.9;NA;"MST0281";"MST0281_2018-05-28"
"94";"MST0296";"geped";"Musling";"oestjylland";"2018-05-28";"Ebeltoft_vig";"94510035";56.183983;10.59145;12;11;"1200";"yes";"6.0";"29/05/2018";7.9;NA;"MST0296";"MST0296_2018-05-28"
"95";"MST0061";"geped";"Musling";"oestjylland";"2018-05-28";"Ebeltoft_vig";"94510035";56.183983;10.59145;12;11;"1100";"yes";"6.0";"29/05/2018";7.9;NA;"MST0061";"MST0061_2018-05-28"
"96";"MST0223";"Steen_Krogsboell_stkro";"aaboen";"Miljoestyrelsen_Storstroem";"2018-05-29";"BRKBMPK2_910_Bornholm_aabne_del";"99000049";55.25;15.983333;89;1;"1200";"yes";"8.0";"28/06/2018";14;"i_hvert_fald_med_med_unikt_nr_";"MST0223";"MST0223_2018-05-29"
"97";"MST0151";"Steen_Krogsboell_stkro";"aaboen";"Miljoestyrelsen_Storstroem";"2018-05-29";"BRKBMPK2_910_Bornholm_aabne_del";"99000049";55.25;15.983333;89;1;"1400";"yes";"8.0";"28/06/2018";14;"i_hvert_fald_med_med_unikt_nr_";"MST0151";"MST0151_2018-05-29"
"98";"MST0241";"Steen_Krogsboell_stkro";"aaboen";"Miljoestyrelsen_Storstroem";"2018-05-29";"BRKBMPK2_910_Bornholm_aabne_del";"99000049";55.25;15.983333;89;1;"1400";"yes";"8.0";"28/06/2018";14;"i_hvert_fald_med_med_unikt_nr_";"MST0241";"MST0241_2018-05-29"
"99";"MST0152";"Ole_Blohm_Poulsen_olbpo";"BELONE_BELONE";"Miljoestyrelsen_Fyn";"2018-06-04";"ODF17_Odense_Fjord";"94230001";55.478233;10.518233;9.8;1;"900";"no";"not_avail";"04/06/2018";20.5;NA;"MST0152";"MST0152_2018-06-04"
"100";"MST0157";"Ole_Blohm_Poulsen_olbpo";"BELONE_BELONE";"Miljoestyrelsen_Fyn";"2018-06-04";"ODF17_Odense_Fjord";"94230001";55.478233;10.518233;9.8;1;"950";"no";"not_avail";"04/06/2018";20.5;NA;"MST0157";"MST0157_2018-06-04"
"101";"MST0160";"Ole_Blohm_Poulsen_olbpo";"BELONE_BELONE";"Miljoestyrelsen_Fyn";"2018-06-04";"ODF17_Odense_Fjord";"94230001";55.478233;10.518233;9.8;1;NA;"no";"not_avail";"04/06/2018";20.5;NA;"MST0160";"MST0160_2018-06-04"
"102";"MST0076";"pheld";"Musling";"Nordjylland";"2018-06-06";"Loegstoer_bredning";"93730002";56.956667;9.062333;6.9;1;"1100";"no";NA;"07/06/2018";20.8;NA;"MST0076";"MST0076_2018-06-06"
"103";"MST0086";"pheld";"Musling";"Nordjylland";"2018-06-06";"Loegstoer_bredning";"93730002";56.956667;9.062333;6.9;1;"1100";"no";NA;"07/06/2018";20.8;NA;"MST0086";"MST0086_2018-06-06"
"104";"MST0090";"pheld";"Musling";"Nordjylland";"2018-06-06";"Loegstoer_bredning";"93730002";56.956667;9.062333;6.9;1;"1000";"no";NA;"07/06/2018";20.8;NA;"MST0090";"MST0090_2018-06-06"
"105";"MST0060";"pheld";"Musling";"Midtjylland";"2018-06-07";"Skive_fjord";"93740007";56.620833;9.074833;5;1;"550";"no";NA;"07/06/2018";20.7;"Alger_og_muslingefiskeri_i_omraadet";"MST0060";"MST0060_2018-06-07"
"106";"MST0075";"pheld";"Musling";"Midtjylland";"2018-06-07";"Skive_fjord";"93740007";56.620833;9.074833;5;1;"500";"no";NA;"07/06/2018";20.7;"Alger_og_muslingefiskeri_i_omraadet";"MST0075";"MST0075_2018-06-07"
"107";"MST0088";"pheld";"Musling";"Midtjylland";"2018-06-07";"Skive_fjord";"93740007";56.620833;9.074833;5;1;"500";"no";NA;"07/06/2018";20.7;"Alger_og_muslingefiskeri_i_omraadet";"MST0088";"MST0088_2018-06-07"
"108";"MST0154";"jocth";"Musling";"Nordjylland";"2018-06-11";"aalborg_bugt";"93000005";56.856667;10.791667;14.2;1;"1800";"unkn";"unkn";"14/06/2018";NA;NA;"MST0154";"MST0154_2018-06-11"
"109";"MST0087";"jocth";"Musling";"Nordjylland";"2018-06-11";"aalborg_bugt";"93000005";56.856667;10.791667;14.2;1;"1800";"unkn";"unkn";"11/06/2018";NA;NA;"MST0087";"MST0087_2018-06-11"
"110";"MST0071";"jocth";"Musling";"Nordjylland";"2018-06-11";"aalborg_bugt";"93000005";56.856667;10.791667;14.2;1;"1800";"unkn";"unkn";"14/06/2018";NA;NA;"MST0071";"MST0071_2018-06-11"
"111";"MST0074";"nifso";"Musling";"Nordjylland";"2018-06-11";"Mariager_fjord";"93610032";56.659;9.973333;28;1;"1610";"yes";"unkn";"14/06/2018";NA;NA;"MST0074";"MST0074_2018-06-11"
"112";"MST0073";"nifso";"Musling";"Nordjylland";"2018-06-11";"Mariager_fjord";"93610032";56.659;9.973333;28;1;"1620";"yes";"unkn";"14/06/2018";NA;NA;"MST0073";"MST0073_2018-06-11"
