Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Colper
1248.783,389.7294,0
1277.521,373.4,0
1294.752,457.7371,0
1214.247,380.2433,0
1288.244,386.4054,0
1318.622,443.7256,0
1215.426,402.8232,0
1276.993,430.251,0
1286.606,403.3035,0
1325.692,464.7047,0
1320.812,391.574,0
1251.152,365.0577,0
1231.818,407.2723,0
1296.386,439.4205,0
1274.911,410.3754,0
1230.373,407.7634,0
1243.456,403.8729,0
1250.359,360.8089,0
1378.169,356.8931,0
1244.097,369.306,0
1301.689,394.659,0
1281.748,373.7757,0
1351.749,348.2304,0
1279.806,475.0262,0
1268.206,369.5435,0
1302.459,425.375,0
1231.718,320.3032,0
1362.807,432.9411,0
1241.196,425.0161,0
1305.098,428.3497,0
1245.003,423.3901,0
1248.945,428.6852,0
1204.769,313.7692,0
1315.659,520.9485,0
1268.12,425.975,0
1219.324,512.616,0
1244.916,371.6638,0
1289.871,405.7394,0
1316.838,412.8985,0
1293.513,386.174,0
1310.722,453.9615,0
1263.911,524.9019,0
1109.426,329.8331,0
1195.394,403.0949,0
1344.01,412.9592,0
1270.186,458.6262,0
1303.964,429.3908,0
1273.133,420.489,0
1283.478,387.7321,0
1308.818,421.4993,0
1302.682,385.1318,0
1246.216,380.1762,0
1275.274,454.761,0
1332.544,354.9382,0
1220.52,419.7295,0
1287.433,445.1524,0
1293.9,503.2791,0
1237.159,390.4711,0
1341.323,442.1548,0
1342.953,377.5781,0
1279.743,386.0132,0
1282.424,432.282,0
1214.386,359.2119,0
1286.222,439.7304,0
1255.814,386.805,0
1303.201,462.2479,0
1277.027,485.0931,0
1212.455,446.4854,0
1296.888,462.7668,0
1300.615,415.7598,0
1302.249,437.6302,0
1339.467,425.0513,0
1303.114,427.6598,0
1201.998,438.4163,0
1211.785,419.8136,0
1346.98,447.4315,0
1250.667,438.1487,0
1251.008,440.1947,0
1283.978,419.2258,0
1360.535,444.1746,0
1288.943,407.7997,0
1218.342,402.3379,0
1288.44,418.6584,0
1286.847,331.2018,0
1359.701,353.0842,0
1274.378,422.7723,0
1206.982,419.8031,0
1313.587,380.8101,0
1343.974,422.8525,0
1292.175,434.1284,0
1223.106,454.8446,0
1242.339,374.7835,0
1259.019,450.1889,0
1254.936,382.8174,0
1286.465,440.8456,0
1124.286,380.693,0
1326.538,426.7883,0
1277.554,364.043,0
1365.63,363.63,0
1300.057,423.1796,0
1265.706,502.924,0
1306.3,428.7245,0
1306.067,427.5858,0
1262.306,411.9128,0
1264.044,442.9879,0
1302.606,467.2796,0
1307.577,347.1464,0
1182.574,372.7839,0
1324.245,378.1147,0
1247.555,499.3331,0
1248.927,401.9041,0
1205.588,504.3517,0
1266.487,405.4299,0
1193.005,446.7496,0
1325.612,342.1271,0
1312.724,411.9583,0
1359.857,354.8995,0
1315.728,413.1688,0
1300.823,432.0458,0
1220.97,400.9893,0
1319.877,368.829,0
1181.149,325.511,0
1249.76,504.7619,0
1320.783,424.3438,0
1315.942,407.0767,0
1216.88,455.3027,0
1332.529,431.8723,0
1288.434,450.9929,0
1201.913,385.7825,0
1260.85,388.4692,0
1188.998,307.2982,0
1273.048,436.151,0
1317.488,384.0593,0
1276.001,385.4169,0
1240.502,423.7375,0
1252.614,421.4177,0
1255.983,429.9813,0
1289.294,370.5934,0
1233.195,380.8734,0
1287.536,370.1469,0
1252.172,369.6423,0
1268.879,380.429,0
1292.774,406.7191,0
1269.495,401.3048,0
1242.373,396.6174,0
1306.276,452.6858,0
1308.365,463.6112,0
1309.719,399.7996,0
1269.268,433.1369,0
1385.093,420.7789,0
1224.299,503.6768,0
