Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Promin
8475.5,273.7109,0
9027.425,442.6406,0
8541.417,318.2056,0
8675.082,347.7173,0
9037.578,524.0225,0
6759.626,162.2393,0
8586.559,366.6699,0
8735.289,329.2285,0
8923.664,319.1309,0
6282.333,224.1311,0
9667.378,523.6304,0
9959.027,541.1553,0
8459.554,469.959,0
6685.064,151.4656,0
9188.457,303.5503,0
9307.141,515.1323,0
8950.626,359.6665,0
9245.63,354.229,0
8743.278,396.9863,0
8963.445,319.6294,0
7629.909,272.4241,0
9607.036,576.0273,0
6598.54,305.3169,0
9112.721,667.9609,0
6947.568,265.5156,0
9382.64,296.75,0
6602.864,237.168,0
7371.895,195.9453,0
8021.943,283.7261,0
8957.374,446.8716,0
8983.257,407.9077,0
6915.53,129.4985,0
7407.125,186.5481,0
9306.435,700.9346,0
8985.13,359.8364,0
6789.84,198.4158,0
9000.648,404.7295,0
8902.902,458.6665,0
8509.864,270.1772,0
9002.021,444.2612,0
6591.98,157.2026,0
9107.915,399.4785,0
7273.289,250.998,0
8834.637,476.5918,0
9108.327,480.1982,0
9164.56,397.6045,0
8817.587,229.9014,0
7461.139,126.0496,0
9462.858,686.0508,0
8462.906,402.8374,0
6766.29,284.7288,0
9155.152,467.5146,0
9261.624,437.4604,0
8772.053,295.7266,0
9271.168,352.2217,0
7149.343,285.7283,0
9470.373,572.9609,0
9411.605,582.8828,0
6345.455,224.1028,0
7523.705,221.2952,0
7428.727,221.0837,0
7685.381,382.5864,0
7428.713,344.4756,0
7895.544,470.1694,0
6411.274,150.4258,0
9105.806,544.0337,0
8611.79,406.855,0
6774.707,146.6519,0
8587.724,383.9146,0
8938.49,290.9365,0
8903.402,449.7856,0
8578.188,441.9214,0
8093.702,399.854,0
6967.056,171.5591,0
9017.677,395.0298,0
9185.367,350.2158,0
8215.874,369.1536,0
7598.442,296.7493,0
6840.497,174.1006,0
9040.585,393.6152,0
8053.105,298.179,0
8714.711,495.2939,0
9125.763,465.1709,0
8521.534,481.958,0
9535.727,463.6372,0
8451.029,494.0996,0
9392.294,652.1851,0
8892.354,567.4771,0
9079.119,478.5747,0
7996.489,210.1472,0
8261.579,278.7395,0
8952.216,608.8413,0
7045.027,333.4509,0
8644.46,359.8892,0
9280.631,441.166,0
8734.865,369.3047,0
9450.847,645.7373,0
7259.326,228.9136,0
6502.249,71.15991,0
8532.203,358.4063,0
9210.185,510.6963,0
9310.34,495.3818,0
7950.663,454.0474,0
9161.125,419.5244,0
6530.75,140.3501,0
9149.923,421.812,0
8939.363,500.3916,0
8295.016,469.875,0
7953.703,259.5854,0
6835.083,233.4968,0
9068.289,422.8496,0
9412.755,629.2212,0
9081.707,465.397,0
8842.082,380.6338,0
8579.515,278.0723,0
7583.73,334.2175,0
8665.438,368.3057,0
7499.069,284.4495,0
9218.515,368.3315,0
9150.708,481.354,0
9095.413,429.0786,0
9290.195,326.2139,0
9720.297,413.0986,0
9175.474,471.707,0
9037.816,476.6714,0
9171.427,416.4136,0
8182.8,207.2292,0
7051.871,195.208,0
9712.212,539.8369,0
9278.537,448.3887,0
6904.829,148.417,0
9096.627,464.9204,0
7056.082,229.1763,0
9028.432,428.5015,0
9297.975,513.2041,0
9649.05,431.4419,0
7280.698,361.1501,0
8992.87,366.8784,0
7322.28,329.3662,0
9202.54,456.7905,0
9101.063,591.2202,0
8258.468,486.5483,0
7186.052,281.1162,0
8769.687,409.354,0
6525.27,118.6538,0
9383.854,410.7056,0
9342.74,483.6035,0
8064.131,485.3574,0
7564.348,298.6484,0
9048.104,377.5098,0
6679.239,155.4348,0
8519.821,221.8237,0
9067.613,484.6816,0
9270.697,467.6587,0
8141.125,321.2463,0
7424.739,302.8589,0
8759.734,368.4932,0
8928.19,497.7642,0
6980.783,80.64844,0
7430.304,195.4043,0
8710.95,368.605,0
9247.967,492.3013,0
7668.707,271.1287,0
8846.021,518.0117,0
6426.742,173.3127,0
7461.352,368.696,0
9273.021,396.8896,0
8606.541,398.0815,0
9343.502,415.1792,0
9109.945,432.7397,0
9007.293,511.8584,0
7273.078,167.3806,0
8549.428,311.5376,0
7205.046,129.426,0
9139.655,449.6821,0
8951.688,325.2344,0
