Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Promin
7898.912,355.5642,0
7991.974,295.8708,0
7087.851,221.842,0
8469.408,339.856,0
7786.355,403.5178,0
8700.705,355.873,0
8467.191,390.1123,0
7544.595,208.3091,0
9040.121,346.6611,0
8308.784,408.6938,0
7492.042,297.9656,0
8367.106,442.1558,0
8606.909,427.3184,0
8642.87,460.9429,0
7093.276,214.3359,0
8453.468,369.8389,0
8161.628,459.7473,0
6888.042,270.4954,0
8666.249,493.6235,0
8347.357,331.9585,0
9037.82,253.8374,0
7665.749,144.8853,0
8850.647,394.2412,0
7357.738,145.2002,0
7918.643,311.7278,0
6646.552,144.8174,0
8405.214,355.2534,0
8108.034,160.1462,0
7483.37,210.6377,0
8842.782,381.1904,0
8458.919,316.2861,0
8494.067,278.8389,0
7962.364,271.5752,0
8057.437,316.6506,0
8447.33,543.9834,0
8344.894,375.0342,0
8775.514,432.6626,0
8736.893,440.3262,0
8592.149,158.1631,0
9093.416,362.7324,0
6925.237,120.7893,0
7987.102,313.5229,0
8126.002,236.1697,0
6872.743,98.67065,0
8488.899,345.5054,0
8238.914,480.3035,0
8617.431,469.8706,0
7597.664,345.2542,0
7692.15,284.635,0
8028.397,267.5498,0
7639.625,174.4648,0
8851.883,277.7637,0
8619.669,501.7808,0
8233.666,297.1809,0
8311.316,253.187,0
9064.735,311.1733,0
8083.356,285.8777,0
8913.295,502.3442,0
8186.762,291.3005,0
8455.61,341.5801,0
8466.578,442.5732,0
8812.765,336.4434,0
7962.373,217.6904,0
8512.18,352.0527,0
8348.661,226.3037,0
8522.707,368.8013,0
8526.126,366.8872,0
8833.43,441.0542,0
8868.575,573.3438,0
8429.628,351.0625,0
7820.414,414.259,0
7468.293,269.5815,0
6621.909,163.6833,0
8573.43,190.4028,0
8753.164,523.334,0
7985.851,425.0176,0
7538.587,222.0701,0
8190.949,292.3867,0
8754.298,507.8618,0
8114.021,366.4121,0
8716.614,378.1084,0
9073.533,356.583,0
7547.167,330.3645,0
8086.386,253.5215,0
8718.727,431.4019,0
7629.006,272.1511,0
8128.95,259.6545,0
8203.344,296.323,0
8667.826,259.3994,0
8744.934,509.8848,0
8817.004,494.0479,0
7289.287,295.6265,0
8450.193,462.9204,0
8070.653,515.2463,0
7111.687,138.6953,0
7627.628,253.1382,0
8499.443,539.7002,0
8589.719,353.6396,0
9040.768,432.8213,0
8743.244,479.1299,0
7404.374,240.7791,0
6822.166,109.1294,0
7913.672,205.8928,0
8867.91,168.3955,0
8943.096,343.6279,0
9035.89,530.1934,0
8990.627,492.5415,0
8021.513,267.5767,0
7448.577,218.6709,0
8295.262,298.9265,0
8167.935,254.9839,0
8675.473,432.3101,0
8504.983,429.0996,0
8633.099,487.3945,0
8671.828,531.1953,0
8281.284,448.0942,0
6632.186,127.9063,0
8680.409,502.605,0
