Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Homame
4096.894,337.6787,0
4064.826,349.6024,0
4173.728,351.5618,0
4154.498,374.8711,0
4237.305,317.4817,0
4220.792,265.6582,0
3977.001,321.39,0
3892.351,298.0009,0
4134.343,329.9368,0
4007.798,320.0205,0
3999.447,321.1396,0
4165.917,229.0039,0
4070.662,373.9885,0
4101.929,320.671,0
4118.748,270.282,0
4134.721,377.5764,0
4035.968,249.7805,0
4007.605,227.4294,0
4054.708,296.6349,0
4051.863,359.1718,0
3979.983,350.3964,0
3992.52,348.3295,0
4115.351,496.1372,0
4176.865,258.238,0
4188.526,340.3975,0
4326.373,233.7849,0
4105.61,278.036,0
4174.001,370.8894,0
3947.899,305.981,0
4140.44,235.832,0
4120.806,311.397,0
4202.673,240.3489,0
4101.349,381.2163,0
3931.866,370.5233,0
4397.91,259.123,0
4072.237,423.4351,0
4249.621,339.6846,0
4208.797,277.7568,0
4099.741,371.6451,0
3901.79,353.6366,0
4215.33,390.2515,0
4240.594,318.0574,0
3803.616,365.0393,0
4144.007,332.7815,0
4227.197,305.9429,0
4219.414,282.9324,0
4263.268,302.0735,0
3849.879,350.6234,0
4171.816,279.2061,0
4005.277,345.1392,0
4243.528,279.7217,0
4141.855,323.614,0
4072.038,251.7675,0
4099.282,290.0649,0
4004.808,260.4075,0
3900.328,330.681,0
4061.337,348.7679,0
4041.326,322.8026,0
4033.079,338.2836,0
4112.267,289.1068,0
4167.798,318.8411,0
4112.948,275.3861,0
4076.267,394.8278,0
4088.014,286.1245,0
3902.865,314.8129,0
4091.208,367.9775,0
4221.86,408.1685,0
4081.997,361.0171,0
4127.802,327.9934,0
4286.281,297.3291,0
4190.366,306.3967,0
4080.584,370.7152,0
4242.03,326.4153,0
4305.794,350.6626,0
3902.188,270.485,0
3966.472,250.7854,0
4119.908,317.5054,0
4052.082,310.1202,0
4074.072,300.8518,0
4131.949,267.7505,0
3849.267,342.0178,0
3736.236,309.194,0
4152.225,269.1748,0
4123.869,362.5334,0
