Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Hemsan
2004.109,356.4773,0
2259.197,283.1682,0
2150.101,277.8691,0
2121.427,360.0364,0
2014.511,326.2908,0
2012.648,376.816,0
2089.003,380.692,0
2043.358,356.7878,0
2136.263,357.1396,0
2114.091,384.99,0
2000.323,300.4075,0
2225.244,360.4502,0
2077.468,362.953,0
2075.342,303.3846,0
2150.797,307.3384,0
2029.054,344.3175,0
2042.5,293.2516,0
2155.075,353.5101,0
2129.281,313.6229,0
2194.894,323.3237,0
2086.746,319.4725,0
2060.166,348.3212,0
2132.836,316.3945,0
2113.14,403.5331,0
2061.002,358.2557,0
2052.619,371.2693,0
2171.174,285.9207,0
2175.455,250.2875,0
2125.649,339.6788,0
2063.625,381.694,0
2261.023,307.4368,0
2167.705,340.593,0
2069.79,372.301,0
2065.233,348.7576,0
2082.071,399.6124,0
2103.702,375.533,0
2185.574,316.9049,0
2037.278,324.8247,0
2125.961,326.1969,0
2081.279,323.0332,0
2061.633,393.5898,0
2052.372,373.5245,0
2174.702,291.0835,0
2124.715,305.0485,0
2217.996,334.3247,0
2108.3,330.174,0
2113.218,344.7928,0
2085.534,285.8319,0
2099.215,331.9011,0
2083.117,329.2004,0
2298.335,315.156,0
2098.337,364.4496,0
2067.684,334.8149,0
2081.093,328.1405,0
2133.225,334.4108,0
2185.181,269.4308,0
2041.492,312.7026,0
2239.915,258.3594,0
2111.955,303.9746,0
2123.774,332.8915,0
2165.633,379.6447,0
2037.083,291.3828,0
2098.739,383.6074,0
2042.885,356.0482,0
2151.531,332.6769,0
2049.625,363.3627,0
2239.361,319.8624,0
2203.151,300.9841,0
2098.439,343.4299,0
2185.474,315.2639,0
2153.328,330.2963,0
2143.531,304.3008,0
2130.281,322.9094,0
2129.002,341.2053,0
2023.618,387.8939,0
2156.956,308.5514,0
2045.747,382.42,0
2146.553,371.3323,0
2248.107,348.7104,0
2096.931,371.4167,0
2048.903,260.7697,0
2035.136,353.4937,0
2119.912,271.83,0
2091.571,299.4104,0
2147.806,333.5714,0
2144.271,349.116,0
2215.232,314.5916,0
2124.661,361.1438,0
2064.619,370.7244,0
2127.552,321.2236,0
2073.028,353.3142,0
2187.284,355.1375,0
2071.692,358.1311,0
2234.585,341.1362,0
2123.084,345.1298,0
2097.945,319.9517,0
2097.842,341.8373,0
2222.062,305.3734,0
2165.389,351.5289,0
1997.597,398.1332,0
2105.7,302.9821,0
2237.557,311.4275,0
2132.183,338.9242,0
2160.849,243.12,0
2130.537,358.3123,0
2217.277,366.666,0
2018.039,387.3219,0
2221.759,317.7905,0
2115.058,276.9078,0
2091.642,318.869,0
2177.536,313.989,0
2275.328,311.0162,0
2082.647,336.5664,0
2016.934,358.642,0
2039.689,306.962,0
2044.415,374.7517,0
2154.706,322.8258,0
2070.063,310.6792,0
2210.174,328.2747,0
2194.953,326.9421,0
1997.805,349.5948,0
2222.261,306.7051,0
1969.074,394.0138,0
2038.487,401.73,0
2181.498,314.7358,0
2120.23,312.238,0
2182.429,322.1829,0
2134.457,285.0594,0
2114.78,401.6864,0
2142.763,327.4697,0
2145.616,306.5736,0
2112.608,368.9783,0
2047.123,396.1965,0
2220.883,359.7772,0
2104.635,249.4713,0
2078.222,312.1763,0
2037.837,385.3469,0
2150.449,289.1075,0
2179.419,307.3994,0
2129.111,333.4574,0
2063.401,354.2979,0
2146.49,256.876,0
2166.876,336.3755,0
2143.118,286.181,0
2082.693,335.6473,0
2089.126,297.3258,0
2121.153,308.3124,0
2005.075,377.5294,0
2207.727,347.2161,0
2018.488,320.3847,0
2007.487,423.7926,0
2027.741,326.3048,0
2117.461,317.9177,0
2065.439,278.4969,0
2029.168,385.8015,0
2160.021,347.8326,0
2135.875,253.623,0
2057.708,316.9724,0
1974.451,363.7096,0
2099.061,316.7644,0
2175.54,354.9717,0
2198.858,390.541,0
2178.736,372.8535,0
2140.411,366.0267,0
2021.869,318.1627,0
2151.392,343.355,0
2204.496,352.3058,0
2143.121,301.5173,0
2245.286,368.824,0
2068.604,348.6954,0
2277.143,304.2302,0
2164.479,353.0667,0
2028.751,410.1359,0
2146.819,352.37,0
2046.296,378.9589,0
2050.598,349.1523,0
2179.28,327.7307,0
2071.501,285.3724,0
2255.129,227.3569,0
2123.291,334.1421,0
2157.58,348.9225,0
2130.596,353.845,0
2196.255,372.951,0
2211.228,261.3981,0
2195.344,269.7775,0
2060.307,335.0953,0
2179.752,311.6897,0
2181.754,334.8098,0
2191.542,339.9543,0
2219.097,338.0492,0
2160.706,300.2019,0
2173.783,257.4263,0
2104.656,318.7158,0
2141.375,411.5968,0
2194.634,347.8831,0
1973.659,367.7993,0
2282.449,281.3031,0
2009.337,386.0489,0
2281.106,319.8368,0
2125.028,351.9335,0
1817.294,188.1682,0
2321.739,280.5557,0
2047.249,368.4506,0
2140.198,285.257,0
2077.951,326.2112,0
2085.826,340.1768,0
2021.984,376.5509,0
2167.1,324.0432,0
1969.599,354.2103,0
2055.186,317.2273,0
2087.855,324.644,0
2158.722,342.8866,0
2133.904,365.2262,0
2112.858,315.2861,0
2182.258,305.7087,0
2063.31,294.5377,0
2040.886,395.3215,0
2182.488,308.3239,0
2026.378,313.1918,0
2052.964,432.1254,0
2008.307,287.6348,0
2096.532,350.131,0
2126.039,306.4751,0
2088.181,373.558,0
2280.051,330.0277,0
2127.552,281.1726,0
2056.875,348.3149,0
2082.22,319.9753,0
2117.096,326.7804,0
2245.749,351.7938,0
2082.631,293.3304,0
2042.04,375.8949,0
2066.443,355.8221,0
2168.892,334.0586,0
2107.988,321.254,0
2114.63,332.7026,0
2114.002,389.4971,0
2093.169,342.9058,0
2209.214,306.3407,0
2136.055,323.2139,0
2145.673,308.3994,0
2205.627,316.626,0
2150.816,319.5294,0
2077.253,335.7042,0
2192.284,287.0068,0
2239.318,353.1888,0
2038.943,344.4253,0
2103.756,288.6425,0
2177.631,303.5204,0
2290.429,340.923,0
2061.409,379.2799,0
2160.998,282.4991,0
2065.103,299.2496,0
2167.118,391.1332,0
2102.482,339.5649,0
2109.839,319.9619,0
2035.994,362.5901,0
2169.95,234.3245,0
2109.066,282.4882,0
2129.464,302.8243,0
2182.664,309.5536,0
2220.373,312.0131,0
2079.843,408.6357,0
2124.811,359.6381,0
2071.985,344.8829,0
2188.381,379.2535,0
2222.726,290.2671,0
2098.125,258.0776,0
2144.283,310.0167,0
2130.524,360.0952,0
2172.184,256.3713,0
2149.377,370.9795,0
2227.413,354.1017,0
2337.304,274.0771,0
2056.5,374.4949,0
2203.755,337.8652,0
2153.492,358.4879,0
2057.451,319.0806,0
2249.426,328.6598,0
2066.705,343.8163,0
2315.711,355.4045,0
2303.572,341.3334,0
2110.271,358.5757,0
2204.964,348.2986,0
2103.554,322.9148,0
2058.171,327.627,0
2141.366,379.0941,0
2086.658,328.0968,0
2113.812,340.2518,0
2051.585,366.4781,0
2138.361,341.8204,0
2325.257,335.6362,0
2261.535,306.8239,0
2128.463,320.6552,0
2070.604,346.1647,0
2165.941,295.9923,0
2124.341,345.5767,0
2179.99,245.7198,0
2042.854,305.2577,0
2098.868,351.2429,0
2116.336,333.0983,0
2074.998,366.5963,0
2204.342,335.1393,0
2063.622,357.9354,0
2117.141,325.0452,0
2014.385,347.8355,0
2103.986,355.6368,0
2133.744,325.3864,0
2258.943,288.4498,0
2130.028,328.5359,0
2097.985,276.9243,0
2080.708,302.7853,0
2054.239,280.6914,0
2127.525,297.3448,0
2025.443,331.5103,0
2048.751,298.7872,0
2178.035,418.1317,0
2090.871,356.0066,0
2048.415,368.8668,0
2174.954,339.9667,0
2071.19,337.8864,0
2114.019,336.1261,0
2094.071,333.3923,0
2146.676,343.4191,0
2022.711,337.5649,0
2230.298,327.3153,0
2079.767,291.9196,0
2312.903,265.4543,0
2070.097,345.4635,0
2196.649,298.9971,0
2100.206,298.903,0
2066.305,353.0431,0
2257.728,316.7874,0
2121.46,305.5232,0
2180.903,300.2949,0
2119.76,347.1793,0
2199.674,343.3798,0
2101.869,308.6575,0
2023.69,337.0752,0
2171.872,394.4204,0
2141.311,378.0847,0
2157.632,329.233,0
2116.649,305.5627,0
2053.462,309.0182,0
2076.186,364.3014,0
2223.127,277.2297,0
2142.762,306.2919,0
2123.068,363.1133,0
2042.777,354.8905,0
2056.204,355.8967,0
2085.492,300.9943,0
2091.817,333.77,0
2232.584,354.9332,0
2131.849,241.428,0
2083.809,307.454,0
2123.07,325.1764,0
2056.37,371.005,0
2104.26,400.3551,0
2022.069,387.6766,0
2030.729,308.3353,0
2057.074,301.9082,0
2127.448,298.1697,0
2058.011,310.8728,0
2075.018,265.8447,0
2123.618,376.5015,0
2090.428,340.8124,0
2296.838,340.3573,0
2008.437,415.5271,0
2145.153,294.8628,0
2148.539,360.3182,0
2101.701,315.9218,0
2096.199,280.2144,0
2133.854,292.3566,0
2157.068,351.3824,0
2123.455,333.7163,0
2155.685,280.0393,0
2219.552,250.7742,0
2120.216,296.3286,0
2001.514,373.1185,0
2132.324,311.8032,0
2107.672,321.8431,0
2072.407,247.9891,0
2239.486,322.0645,0
2223.613,327.4148,0
2161.807,339.8694,0
2204.186,348.8528,0
2131.786,395.9932,0
2097.698,373.3964,0
2104.369,348.9596,0
2068.949,340.9092,0
2154.388,334.5581,0
2178.344,360.2751,0
2168.587,291.2758,0
2170.296,241.9886,0
2235.428,328.3418,0
2105.737,285.903,0
2212.094,283.688,0
2061.206,344.0963,0
2105.945,293.6652,0
2187.8,354.9778,0
2101.453,374.9893,0
2099.196,347.9393,0
2059.657,362.7457,0
2143.387,318.2297,0
2091.998,287.9237,0
2138.187,329.1265,0
2036.079,350.0521,0
2241.608,325.6393,0
2283.571,280.1549,0
2184.601,317.0612,0
2247.793,308.8038,0
2202.477,276.3198,0
2132.53,374.6218,0
2063.86,269.0684,0
2104.869,326.239,0
