Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Erisin
5388.755,314.23,0
5674.771,433.7014,0
5403.364,385.8948,0
5420.025,374.5933,0
5625.181,335.7908,0
5689.929,391.3918,0
5611.134,324.1614,0
5575.004,397.282,0
5682.689,293.5542,0
5337.651,273.7166,0
5274.423,247.2786,0
5384.313,396.114,0
5486.91,275.6755,0
5440.572,256.959,0
5343.356,346.991,0
5143.57,302.5286,0
5447.642,194.2332,0
5639.721,361.5007,0
5785.112,256.3823,0
5821.673,321.9021,0
5532.149,271.0039,0
5490.75,240.4573,0
5694.677,388.8589,0
5359.37,316.4688,0
5513.169,369.6545,0
5178.065,222.0137,0
5811.619,167.262,0
5689.766,323.9026,0
5599.947,323.3972,0
5739.95,260.7036,0
5929.581,255.8635,0
5539.169,341.9651,0
5776.244,270.1479,0
5300.867,360.7444,0
5814.003,255.8203,0
5389.25,329.385,0
5822.532,364.4841,0
5372.268,265.1201,0
5480.009,325.3872,0
5634.517,319.4031,0
5459.106,364.8027,0
5488.056,342.1357,0
5240.333,338.0935,0
5479.813,236.2996,0
5623.783,353.335,0
5373.76,207.7046,0
5631.516,312.7957,0
5713.219,278.5767,0
5805.184,353.9976,0
5408.006,343.6169,0
5391.324,230.5527,0
5765.956,287.093,0
5219.994,205.5974,0
5472.606,296.4529,0
5657.122,267.2214,0
5769.036,331.2998,0
5569.715,346.4854,0
5537.679,282.2571,0
5509.746,382.0737,0
5633.22,214.5645,0
5828.442,312.5784,0
5384.645,308.0549,0
5925.468,241.1667,0
5319.524,285.3289,0
5785.52,365.0078,0
5376.754,469.54,0
5745.251,320.1816,0
5673.785,334.916,0
5453.719,288.1265,0
5436.211,440.9978,0
5844.045,229.8115,0
5694.537,378.8643,0
5340.367,238.5684,0
5434.603,311.6448,0
5611.811,326.6509,0
5747.062,307.1069,0
5656.023,413.2024,0
5430.883,405.8948,0
5519.954,335.2705,0
5278.893,287.1663,0
5718.161,440.5601,0
5130.365,412.4077,0
5469.018,348.5122,0
5733.248,405.3108,0
5472.353,194.0332,0
5458.913,162.8865,0
5282.746,222.9297,0
5753.28,365.4958,0
5494.249,270.3901,0
5509.701,325.2205,0
5676.318,250.1938,0
5452.709,263.8569,0
5644.717,353.6526,0
5265.346,260.2852,0
5232.203,241.2607,0
5868.631,331.2617,0
5760.425,376.5505,0
5665.599,324.2498,0
5294.028,354.4697,0
5462.691,220.394,0
6020.397,285.552,0
6046.557,327.7661,0
5362.231,258.3418,0
5442.89,197.1445,0
5586.083,335.125,0
5564.489,356.8184,0
5649.381,311.0146,0
5830.23,401.4221,0
5563.868,263.9155,0
5579.286,335.8718,0
5695.228,449.9534,0
5719.755,430.0474,0
5671.781,293.4824,0
5592.211,316.375,0
5611.341,220.8425,0
5747.286,243.9565,0
5365.373,295.5676,0
5537.807,228.8613,0
5658.267,364.1658,0
5427.052,216.5164,0
5717.899,375.1047,0
5717.908,315.0896,0
5650.004,439.0522,0
5536.456,433.9004,0
5681.998,359.6802,0
5606.353,336.8147,0
6043.025,132.8618,0
5709.027,300.1333,0
5798.724,189.989,0
5368.8,284.5364,0
5564.109,315.0991,0
5657.431,257.1191,0
5801.945,289.6492,0
5769.28,274.1384,0
5677.627,380.6284,0
5397.984,321.0168,0
5262.601,292.3318,0
5417.887,392.668,0
5578.362,349.7661,0
5365.445,276.825,0
5465.791,299.22,0
5475.448,235.0789,0
5864.527,277.231,0
5603.905,265.0095,0
5404.669,225.8843,0
5637.855,209.2849,0
5778.923,376.6414,0
5467.288,408.2017,0
5515.58,368.6541,0
6026.987,269.2415,0
5719.503,368.3884,0
5332.65,204.0049,0
5511.518,318.3618,0
5591.594,360.7974,0
5707.303,379.458,0
5461.778,315.0144,0
5648.353,285.9973,0
5653.747,463.0596,0
5257.643,279.2358,0
5710.136,257.8967,0
4942.052,293.8333,0
5578.099,354.9854,0
5540.777,237.8508,0
5574.189,395.438,0
5870.421,367.8704,0
5379.357,326.3774,0
5881.328,247.3347,0
5747.512,272.7122,0
5734.762,295.4573,0
5096.106,261.606,0
5837.153,402.229,0
5407.223,294.0703,0
5697.683,348.5222,0
5677.387,298.7153,0
5926.929,285.312,0
5786.661,363.4617,0
5711.828,322.4556,0
5602.414,325.7722,0
5552.187,417.9988,0
5527.604,261.752,0
5302.913,299.3262,0
5575.938,278.4912,0
5126.144,263.0056,0
5592.649,390.4526,0
5812.999,114.4272,0
5863.072,328.1626,0
5594.235,363.748,0
5427.192,325.4478,0
5690.576,370.3328,0
5226.775,310.4688,0
5333.195,359.8054,0
5244.719,306.2937,0
5442.09,323.1292,0
5401.572,292.0442,0
5610.769,350.3843,0
5419.715,370.635,0
5471.661,511.4189,0
5767.895,325.3809,0
5775.471,270.1475,0
5363.076,329.9402,0
5813.191,291.0952,0
5431.27,234.1211,0
5443.912,263.6526,0
5675.63,412.1323,0
5871.787,409.6245,0
5682.989,316.0471,0
5278.971,310.468,0
5420.903,342.6816,0
5754.727,428.0632,0
5827.189,314.0786,0
5733.975,448.1025,0
5665.878,274.9033,0
5195.032,393.6211,0
5837.003,301.6143,0
5372.955,310.4084,0
5610.538,309.7419,0
5676.992,291.0583,0
5955.117,342.6836,0
5823.278,365.6616,0
5499.179,407.9275,0
5613.25,191.4746,0
5790.723,408.0859,0
5497.266,295.3789,0
5622.857,387.2744,0
5486.829,200.9197,0
5471.299,281.8994,0
5414.645,474.5664,0
5683.71,298.2268,0
5601.475,291.4556,0
5390.282,325.6731,0
5254.484,302.6812,0
5937.726,128.7588,0
5560.534,325.5928,0
5801.06,311.322,0
5376.474,286.0979,0
5419.129,295.0195,0
5836.251,331.7168,0
5798.937,353.5942,0
5742.504,288.0891,0
5892.727,202.2551,0
5538.162,280.1479,0
5283.508,360.9053,0
5796.844,480.7698,0
5698.746,433.7258,0
5262.036,284.0405,0
5904.743,315.1768,0
5599.699,288.1145,0
5472.626,296.5151,0
5602.77,461.6672,0
5666.013,301.9084,0
5661.278,440.8079,0
5896.058,308.1333,0
5424.754,275.5762,0
5441.633,298.519,0
5589.755,266.3516,0
5302.375,459.4456,0
5151.072,274.2207,0
5740.907,290.5681,0
5704.498,266.4866,0
5333.633,183.2581,0
5541.184,245.426,0
5921.641,330.3228,0
5653.728,337.4453,0
5138.065,224.6335,0
5349.401,383.5295,0
5409.615,261.7244,0
5176.632,213.4727,0
5839.071,264.8164,0
5677.683,384.1592,0
5875.766,301.5815,0
5430.581,335.9146,0
5833.147,249.7007,0
5812.098,364.9724,0
5750.771,311.332,0
5555.549,297.6387,0
6011.918,426.8174,0
5538.162,456.6885,0
5769.695,425.2417,0
5830.286,299.9973,0
5714.52,312.24,0
5915.046,278.3706,0
5748.592,310.7634,0
5935.463,328.2595,0
5741.369,343.6882,0
5504.121,360.2678,0
5421.729,443.9751,0
5375.658,378.4473,0
5696.494,267.0237,0
5600.074,249.3899,0
5449.629,255.8809,0
5509.547,314.2861,0
5689.261,377.0562,0
5784.603,444.4797,0
5738.125,279.2676,0
5217.787,181.1458,0
5577.559,401.3333,0
5797.238,380.9709,0
5775.667,343.697,0
5209.099,351.1272,0
5407.999,238.959,0
