"","Well","replno","smpltp","templvol","QtyID","WellType","Replicate","ThresholddRn","CtdRn","Quantitycopies","RSqdRn","SlopedRn","qpcrno","MONISprojectno","AssayID","spcabbr","plateno","qpcrrundate","Conc","Species","Sample_Name","Ct","MST_sample_number","Bemaerkn","conc_qubit_ng_uL","Dato.for.ekstraktion","dato_80C","Dato_for_indsml","Dato_inds","Dyb_lagd01","Dyb_Str_m","Ekstraktionsnummer","Elueringvolumen.AE.buffer.uL","Inst","lokalitet_vanda","Lok_omr01","lok_pos_lat","lok_pos_lon","max_Dyb","MST.nummer","MST.n_Dinds","MSTno_di","MST_STEXno","Navn_Inds","Noter2","skib","smplNoSTEX","Sub_Nmb_for_extraction","Temp_Inds","U_Pr_Nr","vandsoejllagd","Vwf_mL","wdt","smpl_day","smpl_mnt","smpl_yea","init_concentration","int_concentation","st_idx","species_idx","sp_st_idx","pres"
"1117","E04",13,"MST2021-070","3uL","QtyorID","Unknown",13,0.1419,"NoCt","NoCt",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",0,"Psefar","MST2021-070",0,"MST2021070",NA,"9.1","2022-jan-11","2021-10-27","2021-10-26","2021-10-26","86",1,"MST-SX24",400,"MSTNJL",93610032,"93610032",56.6626666666667,9.96678333333333,28,"MST2021070","MST2021070_2021-10-26","MST2021070::2021-10-26","MST2021070STEX24_16","RasmusBillegrav",NA,"Frigg","MST2021070STEX24_16","24_16",107.4,"MST2021070","ja",1200,FALSE,26,10,2021,NA,NA,36,16,756,0
"1118","E05",13,"MST2021-070","3uL","QtyorID","Unknown",13,0.1419,"NoCt","NoCt",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",0,"Psefar","MST2021-070",0,"MST2021070",NA,"9.1","2022-jan-11","2021-10-27","2021-10-26","2021-10-26","86",1,"MST-SX24",400,"MSTNJL",93610032,"93610032",56.6626666666667,9.96678333333333,28,"MST2021070","MST2021070_2021-10-26","MST2021070::2021-10-26","MST2021070STEX24_16","RasmusBillegrav",NA,"Frigg","MST2021070STEX24_16","24_16",107.4,"MST2021070","ja",1200,FALSE,26,10,2021,NA,NA,36,16,756,0
"1119","E06",13,"MST2021-070","3uL","QtyorID","Unknown",13,0.1419,"NoCt","NoCt",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",0,"Psefar","MST2021-070",0,"MST2021070",NA,"9.1","2022-jan-11","2021-10-27","2021-10-26","2021-10-26","86",1,"MST-SX24",400,"MSTNJL",93610032,"93610032",56.6626666666667,9.96678333333333,28,"MST2021070","MST2021070_2021-10-26","MST2021070::2021-10-26","MST2021070STEX24_16","RasmusBillegrav",NA,"Frigg","MST2021070STEX24_16","24_16",107.4,"MST2021070","ja",1200,FALSE,26,10,2021,NA,NA,36,16,756,0
"1120","E07",21,"MST2021-030","3uL","QtyorID","Unknown",21,0.1419,"NoCt","NoCt",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",0,"Psefar","MST2021-030",0,"MST2021030",NA,"4.07","2021-nov-24","2021-05-31","2021-05-26","2021-05-26","N_A",1,"MST-SX21",400,"MST_MJL",93740007,"SkiveFjord",56.6208333333333,9.06681944444444,5,"MST2021030","MST2021030_2021-05-26","MST2021030::2021-05-26","MST2021030STEX21_08","PHELD_NICRA",NA,"Sif","MST2021030STEX21_08","21_08",115.9,"MST2021030","nej",1600,TRUE,26,5,2021,NA,NA,22,16,742,0
"1121","E08",21,"MST2021-030","3uL","QtyorID","Unknown",21,0.1419,"NoCt","NoCt",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",0,"Psefar","MST2021-030",0,"MST2021030",NA,"4.07","2021-nov-24","2021-05-31","2021-05-26","2021-05-26","N_A",1,"MST-SX21",400,"MST_MJL",93740007,"SkiveFjord",56.6208333333333,9.06681944444444,5,"MST2021030","MST2021030_2021-05-26","MST2021030::2021-05-26","MST2021030STEX21_08","PHELD_NICRA",NA,"Sif","MST2021030STEX21_08","21_08",115.9,"MST2021030","nej",1600,TRUE,26,5,2021,NA,NA,22,16,742,0
"1122","E09",21,"MST2021-030","3uL","QtyorID","Unknown",21,0.1419,"NoCt","NoCt",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",0,"Psefar","MST2021-030",0,"MST2021030",NA,"4.07","2021-nov-24","2021-05-31","2021-05-26","2021-05-26","N_A",1,"MST-SX21",400,"MST_MJL",93740007,"SkiveFjord",56.6208333333333,9.06681944444444,5,"MST2021030","MST2021030_2021-05-26","MST2021030::2021-05-26","MST2021030STEX21_08","PHELD_NICRA",NA,"Sif","MST2021030STEX21_08","21_08",115.9,"MST2021030","nej",1600,TRUE,26,5,2021,NA,NA,22,16,742,0
"1123","E10",29,"MST2021-006","3uL","QtyorID","Unknown",29,0.1419,"35.90","6.71",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",6.71,"Psefar","MST2021-006",35.9,"MST2021006",NA,"7.65","2022-jan-11","2021-08-25","2021-08-24","2021-08-24","_",96,"MST-SX24",400,"MSTSTO",99210007,"1001027Hovedeskov",54.7410833333333,12.0851805555556,106,"MST2021006","MST2021006_2021-08-24","MST2021006::2021-08-24","MST2021006STEX24_13","NicolaiEspenhainAnker",NA,"ABRA","MST2021006STEX24_13","24_13",17.3,"MST2021006","nej",1400,TRUE,24,8,2021,NA,NA,12,16,732,1
"1124","E11",29,"MST2021-006","3uL","QtyorID","Unknown",29,0.1419,"36.30","5.05",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",5.05,"Psefar","MST2021-006",36.3,"MST2021006",NA,"7.65","2022-jan-11","2021-08-25","2021-08-24","2021-08-24","_",96,"MST-SX24",400,"MSTSTO",99210007,"1001027Hovedeskov",54.7410833333333,12.0851805555556,106,"MST2021006","MST2021006_2021-08-24","MST2021006::2021-08-24","MST2021006STEX24_13","NicolaiEspenhainAnker",NA,"ABRA","MST2021006STEX24_13","24_13",17.3,"MST2021006","nej",1400,TRUE,24,8,2021,NA,NA,12,16,732,1
"1125","E12",29,"MST2021-006","3uL","QtyorID","Unknown",29,0.1419,"37.03","3.02",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",3.02,"Psefar","MST2021-006",37.03,"MST2021006",NA,"7.65","2022-jan-11","2021-08-25","2021-08-24","2021-08-24","_",96,"MST-SX24",400,"MSTSTO",99210007,"1001027Hovedeskov",54.7410833333333,12.0851805555556,106,"MST2021006","MST2021006_2021-08-24","MST2021006::2021-08-24","MST2021006STEX24_13","NicolaiEspenhainAnker",NA,"ABRA","MST2021006STEX24_13","24_13",17.3,"MST2021006","nej",1400,TRUE,24,8,2021,NA,NA,12,16,732,1
"1126","F04",14,"MST1043","3uL","QtyorID","Unknown",14,0.1419,"26.56","4.957e+003",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",4957,"Psefar","MST1043",26.56,"MST1043",NA,"3.06","2022-jan-06","2021-04-12","2021-04-06","2021-04-06",NA,11,"MST-SX23",400,"MSTOJL",93500119,"Hevringbugt",56.6261666666667,10.3204,12,"MST1043","MST1043_2021-04-06","MST1043::2021-04-06","MST1043STEX23_02","JOCTH",NA,"Musling",NA,"23_02",64.3,"MST1043","nej",1500,FALSE,6,4,2021,NA,NA,8,16,728,1
