"","Well","replno","smpltp","templvol","QtyID","WellType","Replicate","ThresholddRn","CtdRn","Quantitycopies","RSqdRn","SlopedRn","qpcrno","MONISprojectno","AssayID","spcabbr","plateno","qpcrrundate","Conc","Species","Sample_Name","Ct","MST_sample_number","Bemaerkn","conc_qubit_ng_uL","Dato.for.ekstraktion","dato_80C","Dato_for_indsml","Dato_inds","Dyb_lagd01","Dyb_Str_m","Ekstraktionsnummer","Elueringvolumen.AE.buffer.uL","Inst","lokalitet_vanda","Lok_omr01","lok_pos_lat","lok_pos_lon","max_Dyb","MST.nummer","MST.n_Dinds","MSTno_di","MST_STEXno","Navn_Inds","Noter2","skib","smplNoSTEX","Sub_Nmb_for_extraction","Temp_Inds","U_Pr_Nr","vandsoejllagd","Vwf_mL","wdt","smpl_day","smpl_mnt","smpl_yea","init_concentration","int_concentation","st_idx","species_idx","sp_st_idx","pres"
"11","D02",4,"std3E2","3uL","QtyorID","Standard",4,0.1208,"30.47","3.00e+002",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",300,"Psefar","std3E2",30.47,"std3E2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,300,3,1,3,1
"12","D03",4,"std3E2","3uL","QtyorID","Standard",4,0.1208,"30.25","3.00e+002",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",300,"Psefar","std3E2",30.25,"std3E2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,300,3,1,3,1
"13","E01",5,"std3E1","3uL","QtyorID","Standard",5,0.1208,"33.76","3.00e+001",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",30,"Psefar","std3E1",33.76,"std3E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,2,1,2,1
"14","E02",5,"std3E1","3uL","QtyorID","Standard",5,0.1208,"33.75","3.00e+001",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",30,"Psefar","std3E1",33.75,"std3E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,2,1,2,1
"15","E03",5,"std3E1","3uL","QtyorID","Standard",5,0.1208,"33.53","3.00e+001",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",30,"Psefar","std3E1",33.53,"std3E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,2,1,2,1
"16","F01",6,"std3E0","3uL","QtyorID","Standard",6,0.1208,"38.99","3.00e+000",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",3,"Psefar","std3E0",38.99,"std3E0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,1,1
"17","F02",6,"std3E0","3uL","QtyorID","Standard",6,0.1208,"39.24","3.00e+000",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",3,"Psefar","std3E0",39.24,"std3E0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,1,1
"18","F03",6,"std3E0","3uL","QtyorID","Standard",6,0.1208,"37.66","3.00e+000",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",3,"Psefar","std3E0",37.66,"std3E0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,1,1
"19","G01",7,"std3E-1","3uL","QtyorID","Standard",7,0.1208,"38.30","3.00e-001",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",0.3,"Psefar","std3E-1",38.3,"std3E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,2,1,2,1
"20","G02",7,"std3E-1","3uL","QtyorID","Standard",7,0.1208,"NoCt","NoCt",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",0,"Psefar","std3E-1",0,"std3E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,2,1,2,0
"21","G03",7,"std3E-1","3uL","QtyorID","Standard",7,0.1208,"NoCt","NoCt",0.981,-3.37,"qpcr944","MONIS6","AssID03","Psefar","plt01","qpcrrundate20220727",0,"Psefar","std3E-1",0,"std3E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,2,1,2,0
"22","A01",1,"std3E5","3uL","QtyorID","Standard",1,0.1419,"20.49","3.00e+005",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",3e+05,"Psefar","std3E5",20.49,"std3E5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e+05,3e+05,6,1,6,1
"23","A02",1,"std3E5","3uL","QtyorID","Standard",1,0.1419,"20.46","3.00e+005",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",3e+05,"Psefar","std3E5",20.46,"std3E5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e+05,3e+05,6,1,6,1
"24","A03",1,"std3E5","3uL","QtyorID","Standard",1,0.1419,"20.63","3.00e+005",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",3e+05,"Psefar","std3E5",20.63,"std3E5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e+05,3e+05,6,1,6,1
"25","B01",2,"std3E4","3uL","QtyorID","Standard",2,0.1419,"24.04","3.00e+004",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",30000,"Psefar","std3E4",24.04,"std3E4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,30000,5,1,5,1
"26","B02",2,"std3E4","3uL","QtyorID","Standard",2,0.1419,"24.07","3.00e+004",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",30000,"Psefar","std3E4",24.07,"std3E4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,30000,5,1,5,1
"27","B03",2,"std3E4","3uL","QtyorID","Standard",2,0.1419,"23.89","3.00e+004",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",30000,"Psefar","std3E4",23.89,"std3E4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,30000,5,1,5,1
"28","C01",3,"std3E3","3uL","QtyorID","Standard",3,0.1419,"27.09","3.00e+003",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",3000,"Psefar","std3E3",27.09,"std3E3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,3000,4,1,4,1
"29","C02",3,"std3E3","3uL","QtyorID","Standard",3,0.1419,"27.16","3.00e+003",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",3000,"Psefar","std3E3",27.16,"std3E3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,3000,4,1,4,1
"30","C03",3,"std3E3","3uL","QtyorID","Standard",3,0.1419,"27.36","3.00e+003",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",3000,"Psefar","std3E3",27.36,"std3E3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,3000,4,1,4,1
"31","D01",4,"std3E2","3uL","QtyorID","Standard",4,0.1419,"30.76","3.00e+002",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",300,"Psefar","std3E2",30.76,"std3E2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,300,3,1,3,1
"32","D02",4,"std3E2","3uL","QtyorID","Standard",4,0.1419,"30.81","3.00e+002",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",300,"Psefar","std3E2",30.81,"std3E2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,300,3,1,3,1
"33","D03",4,"std3E2","3uL","QtyorID","Standard",4,0.1419,"30.77","3.00e+002",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",300,"Psefar","std3E2",30.77,"std3E2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,300,3,1,3,1
"34","E01",5,"std3E1","3uL","QtyorID","Standard",5,0.1419,"34.12","3.00e+001",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",30,"Psefar","std3E1",34.12,"std3E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,2,1,2,1
"35","E02",5,"std3E1","3uL","QtyorID","Standard",5,0.1419,"34.24","3.00e+001",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",30,"Psefar","std3E1",34.24,"std3E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,2,1,2,1
"36","E03",5,"std3E1","3uL","QtyorID","Standard",5,0.1419,"34.13","3.00e+001",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",30,"Psefar","std3E1",34.13,"std3E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,2,1,2,1
"37","F01",6,"std3E0","3uL","QtyorID","Standard",6,0.1419,"37.40","3.00e+000",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",3,"Psefar","std3E0",37.4,"std3E0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,1,1
"38","F02",6,"std3E0","3uL","QtyorID","Standard",6,0.1419,"37.16","3.00e+000",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",3,"Psefar","std3E0",37.16,"std3E0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,1,1
"39","F03",6,"std3E0","3uL","QtyorID","Standard",6,0.1419,"37.23","3.00e+000",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",3,"Psefar","std3E0",37.23,"std3E0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,1,1
"40","G01",7,"std3E-1","3uL","QtyorID","Standard",7,0.1419,"39.18","3.00e-001",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",0.3,"Psefar","std3E-1",39.18,"std3E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,2,1,2,1
"41","G02",7,"std3E-1","3uL","QtyorID","Standard",7,0.1419,"39.79","3.00e-001",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",0.3,"Psefar","std3E-1",39.79,"std3E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,2,1,2,1
"42","G03",7,"std3E-1","3uL","QtyorID","Standard",7,0.1419,"NoCt","NoCt",0.997,-3.256,"qpcr945","MONIS6","AssID03","Psefar","plt02","qpcrrundate20220728",0,"Psefar","std3E-1",0,"std3E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,2,1,2,0
