Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Promin
8539.872,340.0981,0
8066.554,322.8096,0
8190.941,331.2898,0
8274.57,259.0767,0
7126.921,217.7397,0
8347.068,366.9551,0
8615.704,334.4238,0
8551.263,456.0015,0
8592.613,415.9263,0
8108.832,293.8511,0
5810.596,58.38501,0
8681.995,452.9307,0
8413.471,351.6719,0
8625.733,439.2686,0
8468.675,362.3091,0
6414.831,165.4348,0
7810.664,235.6318,0
6807.623,214.0281,0
8018.743,351.8574,0
7659.436,289.3105,0
8460.398,428.1348,0
8588.863,337.8687,0
6198.69,28.39282,0
7486.877,301.1826,0
8556.45,400.6582,0
8096.78,263.5923,0
8172.891,379.5674,0
8333.592,361.2603,0
8763.207,228.9395,0
8513.68,408.521,0
8029.717,368.2991,0
7951.134,272.7222,0
8539.435,264.0859,0
8509.793,386.5669,0
8656.443,416.5132,0
8116.648,329.2437,0
8256.395,203.5098,0
6594.285,115.9048,0
7670.016,346.7229,0
7666.196,388.1738,0
7312.775,274.2659,0
8192.798,424.3054,0
8810.055,219.1572,0
8408.016,346.3452,0
8391.939,351.9424,0
8365.425,379.7466,0
8305.437,366.9019,0
8605.047,348.4917,0
8075.162,325.4087,0
7247.291,182.7375,0
8444.773,279.2407,0
8506.378,325.25,0
8446.17,304.3833,0
8712.848,345.7339,0
8588.37,183.314,0
9177.07,610.4927,0
8579.279,316.606,0
8314.645,359.6592,0
8476.262,423.9297,0
8454.923,239.8335,0
8137.131,380.5298,0
8345.107,411.498,0
8499.921,287.3433,0
7072.463,226.4243,0
8359.22,490.644,0
8339.875,435.1587,0
7882.533,338.6895,0
8568.559,364.2666,0
8187.782,331.9153,0
8493.401,340.2739,0
8510.492,470.4102,0
8074.896,384.0615,0
8308.892,399.7617,0
7186.257,335.2888,0
8648.618,326.5161,0
8419.152,398.0947,0
8660.919,316.3276,0
8352.983,398.8071,0
8552.627,381.1567,0
8160.472,289.4043,0
8095.414,174.6206,0
7890.495,138.8625,0
7930.084,259.7222,0
8056.359,286.937,0
8363.669,336.4009,0
8159.792,334.9307,0
8556.763,303.3315,0
7131.779,183.1143,0
8457.818,328.2344,0
8260.993,315.3105,0
8511.239,349.3613,0
7310.09,256.4385,0
8028.349,463.418,0
8748.871,375.0088,0
8083.116,318.9653,0
8668.073,272.4521,0
8591.274,395.7588,0
8229.76,320.9937,0
8520.073,387.666,0
7809.659,254.1741,0
7858.683,312.6936,0
8495.821,314.4067,0
8757.955,439.1982,0
8218.758,488.5857,0
7583.829,336.761,0
7803.002,369.5464,0
5676.329,162.9551,0
8606.446,357.75,0
8055.818,402.2844,0
7959.488,280.6602,0
8640.784,352.2227,0
6317.699,141.9734,0
8531.366,270.6357,0
8416.65,336.1274,0
8628.255,279.27,0
8186.783,222.1042,0
7888.221,352.6289,0
7884.032,316.9199,0
7722.655,164.3704,0
8600.818,320.252,0
8555.396,398.9063,0
6773.139,223.8772,0
8577.389,340.563,0
8322.334,443.9375,0
7313.833,340.9751,0
7952.320,4683.0,
8768.952,445.459,0
7010.536,237.1558,0
8535.509,530.7705,0
8645.718,348.2769,0
7719.269,260.4141,0
7856.308,355.2102,0
7387.952,242.1284,0
7519.206,229.3333,0
8705.461,368.7129,0
8655.74,354.5796,0
8722.414,354.0474,0
7354.908,303.3706,0
8449.394,418.1772,0
8390.011,286.3696,0
8631.984,355.5894,0
8538.987,387.4224,0
8485.01,325.9595,0
8568.66,465.3896,0
8069.787,485.6287,0
7405.965,213.4807,0
8119.701,247.7109,0
6230.267,192.2942,0
7965.481,445.5583,0
8080.532,283.7852,0
