Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Promin
9198.632,382.4912,0
7609.588,340.5442,0
8951.896,496.5288,0
9394.799,398.8784,0
6711.114,239.3035,0
9265.656,373.3706,0
8684.042,484.022,0
9079.141,360.7832,0
8132.687,316.7917,0
8232.324,268.0,
6817.384,171.0,
5886.761,75.8855,0
8222.419,198.3997,0
7011.892,227.271,0
6600.414,210.0303,0
8201.977,309.4595,0
9336.419,386.0371,0
8775.881,336.8027,0
9031.426,390.729,0
9298.092,534.877,0
9130.551,577.8296,0
8898.412,361.4233,0
8890.282,450.709,0
5725.831,86.47656,0
9582.905,588.1597,0
8237.021,391.3674,0
8281.146,291.2043,0
9199.42,431.0972,0
8897.551,527.0967,0
9048.056,600.6226,0
8370.229,340.6943,0
8876.983,464.5889,0
8947.377,366.3599,0
9076.645,395.5962,0
8532.895,353.1499,0
7910.136,284.2939,0
8671.165,367.8647,0
8913.134,433.0845,0
8533.523,349.5796,0
6182.186,169.6702,0
9272.414,477.8315,0
8971.671,379.6699,0
6705.898,161.551,0
8742.667,253.9814,0
8606.19,371.6392,0
9145.045,531.7573,0
9275.315,500.7402,0
9082.865,390.3398,0
9293.741,338.7407,0
5783.114,69.64771,0
6449.236,79.15234,0
8937.32,427.1372,0
9275.807,291.7744,0
9512.77,551.8579,0
7761.296,264.7671,0
9009.097,439.2188,0
9083.909,452.6226,0
5919.859,144.1379,0
9068.723,439.2368,0
8218.495,279.9319,0
7231.671,231.3394,0
6964.662,226.7283,0
6591.211,145.7261,0
6546.359,72.40479,0
8159.003,374.4524,0
8241.61,360.0637,0
8089.952,261.311,0
9093.388,581.1587,0
9405.157,507.1035,0
7303.794,257.04,0
8380.75,207.9834,0
7965.083,344.6125,0
9062.009,452.687,0
8555.455,235.3428,0
8431.876,252.27,0
9081.279,432.4033,0
6471.342,112.8687,0
8424.061,269.1606,0
9417.91,298.8193,0
8525.402,448.7407,0
6912.923,100.623,0
8304.863,324.9272,0
9209.095,399.1865,0
9361.122,519.6948,0
6133.024,103.5171,0
8455.064,240.3818,0
9141.085,312.6714,0
8900.774,305.686,0
9012.311,278.9517,0
9228.435,289.1396,0
7045.634,246.9861,0
6655.747,142.8843,0
9190.631,584.814,0
8805.424,389.915,0
7448.24,224.2776,0
8610.951,320.189,0
6226.181,139.3757,0
6514.187,157.1599,0
6164.616,86.67603,0
6640.922,202.8887,0
8541.946,298.1973,0
8524.688,421.479,0
8962.229,448.0063,0
9252.473,458.1318,0
8089.41,383.8162,0
5712.966,137.1023,0
6199.438,146.1572,0
7679.016,261.5728,0
9255.242,327.1821,0
9288.419,429.4253,0
7190.832,178.7268,0
8948.151,452.4219,0
6977.924,108.7351,0
9526.539,578.1929,0
7821.849,270.144,0
8555.324,335.6177,0
8485.33,315.0488,0
7060.842,174.5603,0
8348.904,366.6729,0
9157.305,407.1143,0
8789.956,231.8096,0
6853.698,237.7937,0
5929.287,106.1731,0
9069.051,383.561,0
9349.025,477.6191,0
6363.298,101.5269,0
6759.249,113.9871,0
7226.015,268.6887,0
9002.491,414.1514,0
6017.73,50.63354,0
6681.36,335.9722,0
9266.321,442.376,0
6599.815,79.60107,0
7218.258,59.0144,0
7341.021,246.5935,0
9206.254,385.5605,0
9288.608,414.1997,0
7924.006,219.689,0
6465.619,217.5034,0
9049.044,434.877,0
8226.904,386.2546,0
9047.508,375.9922,0
9263.348,437.7769,0
