"","Prøvetagnings_skema for TA_X01","Vandprøvenummer (unikt nummer) (U_Pr_Nr)","Ansvarlig prøvetager, navn (Navn_Inds)","Skib (skib)","Institution (Inst)","dato (dato_inds)","lokalitet, navn/område (Lok_omr)","position, breddegrad (lok_pos)","position, længdegrad (lok_pos)","Max vanddybde på lokalitet (max_Dyb)","Dybde hvor vandprøve er indhentet fra (Dyb_Str)","Volumen vand filtreret (Vwf)","Er vandsøjlen lagdelt, (ja/nej)","Dybde for lagdelingen (Dyb_lagd)","tidspunkt hvor vandprøve er indsamlet (tdspkt_inds)","tidspunkt hvor vandprøve er filtreret (tdspkt_filt)","tidspunkt hvor vandprøve er indfrosset (<-15°C) (tdspkt_indfr)","dato hvor vandprøve er overført fra -15°C til -80°C (dato_80C)","Temperatur på vandprøve ved indsamling (Temp_Inds)","Er vandhenter behørigt skyllet inden vandprøven blev indsamlet (ja/nej)","Er pose og filter udskiftet i Amphiltrator inden prøven  er blevet filtreret (ja/nej)","Vandprøven blev indsamlet samtidigt med (bundfauna/makroalge/zooplankton/fytoplankton /fiskeri)","Restvand er presset ud af filteret inden indfrysning (ja/nej)","Zip-lock pose med filter er markeret med dato, unikt nummer og lokalitet (ja/nej)","Bemærkninger"
"24",NA,"MST2021-020","Emil Guddal Larsen","Mergus","Sjælland","44348","ROS60 / 322 Roskilde Fjord","5542.78","1204",4.8,"1","1600","nej",NA,"0.51736111111111105","0.53125","0.53194444444444444","44357",17.1,"ja","ja","fytoplankton","ja","ja",NA
"25",NA,"MST2021-025","Emil Guddal Larsen","Mergus","Sjælland","44357","Franks Rev","5502.009","1490.2819999999999",3.9,"2.8","1750","nej",NA,"0.38055555555555554","0.39444444444444443","0.39513888888888887","44362",16.8,"ja","ja","makroalger","ja","ja","Dato for overførsel til -80 C fryseren i laboratoriet er ikke dokumentere, men prøvem er senest blevet overført d. 15/06/2021 og muligvis ved en tidligere dato.
"
"26",NA,"MST2021-018","Emil Guddal Larsen","Mergus","Sjælland","44357","Franks Rev","5502.009","1490.2819999999999",3.9,"2.8","1600","nej",NA,"0.38194444444444442","0.41111111111111115","0.41111111111111115","44362",16.8,"ja","ja","makroalger","ja","ja","Dato for overførsel til -80 C fryseren i laboratoriet er ikke dokumentere, men prøvem er senest blevet overført d. 15/06/2021 og muligvis ved en tidligere dato.
"
"27",NA,"MST2021-074","Emil Guddal Larsen","Mergus","Sjælland","44364","Nivå","5593.777","1253.1010000000001",3.5,"2.2000000000000002","1500","nej",NA,"0.46249999999999997","0.48125000000000001","0.48194444444444445",NA,17.4,"ja","ja","makroalger","ja","ja","En specifik dato for overførsel til -80 C fryseren kan ikke dokumenteres, men eftersom der kke er noteret nogen afvigelser i systemet, må den være lagt i fryseren inden for 14 dage. Altså senest d. 1/7/2021
"
"28",NA,"MST2021-061","Emil Guddal Larsen","Mergus","Sjælland","44364","Nivå","5593.777","1253.1010000000001",3.5,"2.2000000000000002","1500","nej",NA,"0.46319444444444446","0.4909722222222222","0.4916666666666667",NA,17.4,"ja","ja","makroalger","ja","ja","En specifik dato for overførsel til -80 C fryseren kan ikke dokumenteres, men eftersom der kke er noteret nogen afvigelser i systemet, må den være lagt i fryseren inden for 14 dage. Altså senest d. 1/7/2021
"
"29",NA,"MST - 1028","Rasmus Billegrav","Liv II","MST SYD","15.03.2021","FFSB0011","5450.5","949",29.2,"28.2","1600","ja","17","0.53472222222222221","12:58-13:08","straks efter filtrering","26.03.2021",2.78,"ja","ja","Bundfauna","ja","ja",NA
"30",NA,"MST - 1032","Rasmus Billegrav","Liv II","MST SYD","15.03.2021","FFSB0011","5450.5","949",29.2,"28.2","1550","ja","17","0.53472222222222221","13:11-13:22","straks efter filtrering","26.03.2021",2.78,"ja","ja","Bundfauna","ja","ja",NA
"31",NA,"MST - 1033","Rasmus Billegrav","Liv II","MST SYD","15.03.2021","FFSB0011","5450.5","949",29.2,"28.2","1550","ja","17","0.53472222222222221","13:25-13:36","straks efter filtrering","26.03.2021",2.78,"ja","ja","Bundfauna","ja","ja",NA
"32",NA,"MST - 1027","Rasmus Billegrav","Liv II","MST FYN","19.03.2021","Sydfynske øhav - BF11","5501.5720000000001","1022.664",16.5,"15.5","1500","ja","9.5","0.58888888888888891","14:32-14:44","straks efter filtrering","26.03.2021",4.2,"ja","ja","Bundfauna","ja","ja",NA
"33",NA,"MST - 1020","Rasmus Billegrav","Liv II","MST FYN","19.03.2021","Sydfynske øhav - BF11","5501.5720000000001","1022.664",16.5,"15.5","1500","ja","9.5","0.58888888888888891","14:14-14:27","straks efter filtrering","26.03.2021",4.2,"ja","ja","Bundfauna","ja","ja",NA
"34",NA,"MST2021 - 012","KRISTIAN MCGREGOR","LIV II","MST SYD","27.04.2021","Vejle Fjord, indre - VF","5542.1310000000003","939.40899999999999",6.9,"5.9","1500","nej","na","0.53333333333333333","0.55555555555555558","0.55625000000000002","03.05.2021",8.17,"ja","ja","Bundfauna","ja","ja",NA
"35",NA,"MST2021 - 017","KRISTIAN MCGREGOR","Liv II","MST SYD","27.04.2021","Vejle Fjord, indre - VF","5542.1310000000003","939.40899999999999",6.9,"5.9","1500","nej","na","0.53333333333333333","0.57222222222222219","0.57291666666666663","03.05.2021",8.17,"ja","ja","Bundfauna","ja","ja",NA
"36",NA,"MST2021-075","Jane Robertsen","Frigg","MST OJL","11.05.2021","VEJ0006870/94300001","5540.4629999999997","1005.423",21,"1","1100","ja","13","0.47013888888888888","0.48055555555555557","straks efter filtrering","20.05.2021",9.81,"ja","ja","fyto","ja","ja",NA
"37",NA,"MST2021-027","Jane Robertsen","Frigg","MST OJL","11.05.2021","VEJ0006870/94300001","5540.4629999999997","1005.423",21,"1","1150","ja","13","0.47013888888888888","0.4916666666666667","straks efter filtrering","20.05.2021",9.81,"ja","ja","fyto","ja","ja",NA
"38",NA,"MST-1022","Jane Robertsen","Frigg","MST OJL","17.05.2021","ARH1700006/94400007","5609.2839999999997","1019.122",16.2,"1","1100","ja","9","0.48402777777777778","0.4993055555555555","straks efter filtrering","20.05.2021",10.9,"ja","ja","fyto","ja","ja",NA
"39",NA,"MST2021-053","Jane Robertsen","Frigg","MST OJL","17.05.2021","ARH1700006/94400007","5609.2839999999997","1019.122",16.2,"1","1000","ja","9","0.48402777777777778","0.51041666666666663","straks efter filtrering","20.05.2021",10.9,"ja","ja","fyto","ja","ja",NA
"40",NA,"MST2021-089","Jane Robertsen","Frigg","MST OJL","17.05.2021","Ebeltoft Vig","5612.5640000000003","1036.124",14,"13","1400","ja","7.5","0.57152777777777775","0.59236111111111112","straks efter filtrering","20.05.2021",7.73,"ja","ja","Bundfauna","ja","ja",NA
"41",NA,"MST2021-100","Jane Robertsen","Frigg","MST OJL","17.05.2021","Ebeltoft Vig","5612.5640000000003","1036.124",14,"13","1500","ja","7.5","0.57152777777777775","0.6020833333333333","straks efter filtrering","20.05.2021",7.73,"ja","ja","Bundfauna","ja","ja",NA
"42",NA,"MST2021-088","Jane Robertsen","Frigg","MST FYN","20.05.2021","Kerteminde Bugt","5526.3530000000001","1049.3969999999999",19.8,"18.8","1600","ja","7.5","0.23750000000000002","0.25555555555555559","straks efter filtrering","21.05.2021",7.37,"ja","ja","Bundfauna","ja","ja",NA
"43",NA,"MST2021-094","Jane Robertsen","Frigg","MST FYN","20.05.2021","Kerteminde Bugt","5526.3530000000001","1049.3969999999999",19.8,"18.8","1500","ja","7.5","0.23750000000000002","0.2673611111111111","straks efter filtrering","21.05.2021",7.37,"ja","ja","Bundfauna","ja","ja",NA
"44",NA,"MST2021-062","Jane Robertsen","Frigg","MST FYN","44337","95600002/FYN6300043","5459.8549999999996","1009.5549999999999",36.1,"1","1400","ja","12","0.47152777777777777","0.48194444444444445","straks efter filtrering","21.05.2021",11.22,"ja","ja","fyto","ja","ja",NA
"45",NA,"MST2021-087","Jane Robertsen","Frigg","MST FYN","44337","95600002/FYN6300043","5459.8549999999996","1009.5549999999999",36.1,"1","1500","ja","12","0.47152777777777777","0.49305555555555558","straks efter filtrering","21.05.2021",11.22,"ja","ja","fyto","ja","ja",NA
"46",NA,"MST2021-051","Rasmus Billegrav","Frigg","MST NJL","04.06.2021","93730002/VIB3708-1","5657.26","903.74699999999996",7,"1","1700","nej",NA,"0.30833333333333335","0.31805555555555554","straks efter filtrering","10.06.2021",15.08,"ja","ja","fyto/zoo plankton","ja","ja",NA
"47",NA,"MST2021-078","Rasmus Billegrav","Frigg","MST NJL","04.06.2021","93730002/VIB3708-1","5657.26","903.74699999999996",7,"1","1550","nej",NA,"0.30833333333333335","0.32916666666666666","straks efter filtrering","10.06.2021",15.08,"ja","ja","fyto/zoo plankton","ja","ja",NA
"48",NA,"MST 2021-099","Rasmus Billegrav","Frigg","MST OJL","24.08.2021","94400007/ARH170006","5609.2650000000003","1019.11",16,"1","1500","ja","3","0.49236111111111108","0.50277777777777777","straks efter filtrering","25.08.2021",17.51,"ja","ja","fyto","ja","ja",NA
"49",NA,"MST 2021-065","Rasmus Billegrav","Frigg","MST OJL","24.08.2021","94400007/ARH170006","5609.2650000000003","1019.11",16,"1","1500","ja","3","0.49236111111111108","0.51527777777777783","straks efter filtrering","25.08.2021",17.51,"ja","ja","fyto","ja","ja",NA
"50",NA,"MST2021-058","KRISTIAN MCGREGOR","Frigg","MST OJL","30.08.2021","94300001/VEJ0006870","5540.4629999999997","1005.423",19.4,"1","1500","ja","17","0.42638888888888887","0.45208333333333334","straks efter filtrering","03.09.2021",10.07,"ja","ja","fyto","ja","ja",NA
"51",NA,"MST2021-097","KRISTIAN MCGREGOR","Frigg","MST OJL","30.08.2021","94300001/VEJ0006870","5540.4629999999997","1005.423",19.4,"1","1500","ja","17","0.42638888888888887","0.4597222222222222","straks efter filtrering","03.09.2021",10.07,"ja","ja","fyto","ja","ja",NA
"52",NA,"MST2021-064","kristian mcgregor","Frigg","MST NJL","02.09.2021","93730002/VIB3708-1","se bemærkning","903.75",7.6,"1","700","nej","na","0.38819444444444445","0.41250000000000003","straks efter filtrering","08.09.2021",17.37,"ja","ja","fyto/zoo plankton","ja","ja","Breddegrad : 5657,2400"
"53",NA,"MST2021-092","kristian mcgregor","Frigg","MST NJL","02.09.2021","93730002/VIB3708-1","5657.24","903.75",7.6,"1","700","nej","na","0.38819444444444445","0.4236111111111111","straks efter filtrering","08.09.2021",17.37,"ja","ja","fyto/zoo plankton","ja","ja",NA
"54",NA,"MST2021-079","Rasmus Billegrav","Frigg","MST MJL","06.09.2021","93740007/VIB3727-1","5637.25","904.55",5.1,"1","1100","ja","2","0.47986111111111113","0.5180555555555556","straks efter filtrering","08.09.2021",17.35,"ja","ja","fyto","ja","ja",NA
"55",NA,"MST2021-066","Rasmus Billegrav","Frigg","MST MJL","06.09.2021","93740007/VIB3727-1","5637.25","904.55",5.1,"1","1100","ja","2","0.47986111111111113","0.50694444444444442","straks efter filtrering","08.09.2021",17.35,"ja","ja","fyto","ja","ja",NA
"56",NA,"MST2021-082","Rasmus Billegrav","Frigg","MST NJL","07.09.2021","93000005/NOR409","5651.366","1047.423",14.6,"1","1500","ja","4","0.35902777777777778","0.38611111111111113","straks efter filtrering","08.09.2021",16.03,"ja","ja","fyto/plankton","ja","ja",NA
"57",NA,"MST2021-095","Rasmus Billegrav","Frigg","MST NJL","07.09.2021","93000005/NOR409","5651.366","1047.423",14.6,"1","1450","ja","4","0.35902777777777778","0.39930555555555558","straks efter filtrering","08.09.2021",16.03,"ja","ja","fyto/plankton","ja","ja",NA
"58",NA,"MST2021-070","Rasmus Billegrav","Frigg","MST NJL","26.10.2021","93610032","5639.76","958.42",28,"1","1200","ja","8.6","0.38680555555555557","0.40138888888888885","straks efter filtrering","27.10.2021",10.74,"ja","ja","fyto/plankton","ja","ja",NA
"59",NA,"MST2021-072","Rasmus Billegrav","Frigg","MST NJL","26.10.2021","93610032","5639.76","958.42",28,"1","1250","ja","8.6","0.38680555555555557","0.41180555555555554","straks efter filtrering","27.10.2021",10.74,"ja","ja","fyto/plankton","ja","ja",NA
"60",NA,"MST - 1043","JOCTH","Musling","MST OJL","44292","Hevring bugt","56 37,57","10 3204",12,"11","1500","nej",NA,"0.39652777777777781","0.43194444444444446","0.43402777777777773","12.04.2021",6.43,NA,"ja","Bundfauna","ja","ja",NA
"61",NA,"MST - 1045","JOCTH","Musling","MST OJL","44292","Hevring bugt","56 37,57","10 3204",12,"11","1600","nej",NA,"0.39652777777777781","0.41319444444444442","0.41875000000000001","12.04.2021",6.43,NA,"ja","Bundfauna","ja","ja",NA
"62",NA,"MST-1024","JOCTH","Musling","MST MJL","44301","Nissum Bredning","56 36,05","08 24,81",6,"5","1500","nej",NA,"0.4861111111111111","0.51041666666666663","0.51388888888888895","19.04.2021",6.9,"ja","ja","Bundfauna","ja","ja",NA
"63",NA,"MST-1030","JOCTH","Musling","MST MJL","44301","Nissum Bredning","56 36,05","08 24,81",6,"5","1400","nej",NA,"0.4861111111111111","0.4993055555555555","0.50208333333333333","19.04.2021",6.9,"ja","ja","Bundfauna","ja","ja",NA
"64",NA,"MST-1031","PHELD/NIFSO","Daphne","MST-SJL","44272","Isefjord, ydre","55°51'94 N","011°47'64 Ø",10.5,"8.9","1500 ml.","Nej","Ingen lagdeling","0.61111111111111105","0.64652777777777781","0.64722222222222225","26.03.2021",3.36,"Ja","Ja","Bundfauna","ja","ja",NA
"65",NA,"MST-1037","PHELD/NIFSO","Daphne","MST-SJL","44272","Isefjord, ydre","55°51'94 N","011°47'64 Ø",10.5,"8.9","1500 ml.","Nej","Ingen lagdeling","0.61111111111111105","0.65763888888888888","0.65833333333333333","26.03.2021",3.36,"Ja","Ja","Bundfauna","ja","ja",NA
"66",NA,"MST 2021 - 039","PHELD/ALKRI","Sif","MST-NJL","44323","Mariager Fjord","56°39'76 N","009°58'42 Ø",27,"1","1800 ml","Ja","7 m","0.33402777777777781","0.34930555555555554","0.35069444444444442","20.05.2021",9.28,"Ja","Ja","Plankton","ja","ja",NA
"67",NA,"MST 2021 - 021","PHELD/ALKRI","Sif","MST-NJL","44323","Mariager Fjord","56°39'76 N","009°58'42 Ø",27,"1","1800 ml","Ja","7 m","0.33402777777777781","0.36874999999999997","0.36944444444444446","20.05.2021",9.28,"Ja","Ja","Plankton","ja","ja",NA
"68",NA,"MST-1054","ALKRI/NIFSO","Sif","MST-FYN","44334","DMU444-Arkona","55°00'00 N","013°18'00 Ø",48,"1","1400 ml","Ja","38 m","0.39374999999999999","0.40486111111111112","0.40625","31.05.2021",9.2,"Ja","Ja","Plankton","ja","ja",NA
"69",NA,"MST-1055","ALKRI/NIFSO","Sif","MST-FYN","44334","DMU444-Arkona","55°00'00 N","013°18'00 Ø",48,"1","1600 ml","ja","38 m","0.39374999999999999","0.4201388888888889","0.42152777777777778","31.05.2021",9.2,"Ja","Ja","Plankton","ja","ja",NA
"70",NA,"MST-2021 - 008","ALKRI/NIFSO","Sif","MST-SJL","44335","KBH431-Ven","55°52'00 N","012°45'00 Ø",55,"1","1300 ml","Ja","8.6","0.35347222222222219","0.36805555555555558","0.38194444444444442","31.05.2021",11.8,"Ja","Ja","Plankton","ja","ja",NA
"71",NA,"MST-1060","ALKRI/NIFSO","Sif","MST-SJL","44335","KBH431-Ven","55°52'00 N","012°45'00 Ø",55,"1","1301 ml","Ja","8.6","0.35347222222222219","0.36805555555555558","0.38194444444444442","31.05.2021",11.8,"Ja","Ja","Plankton","ja","ja",NA
"72",NA,"MST-2021-019","ALKRI/NICRA","Sif","MST-NJL","44341","NOR409 - Ålborg Bugt","56°51'40 N","010°47'50 Ø",14.6,"1","1650 ml","ja","11 m","0.50069444444444444","0.51458333333333328","0.51597222222222217","31.05.2021",8.8,"Ja","Ja","Plankton","ja","ja",NA
"73",NA,"MST-2021-054","ALKRI/NICRA","Sif","MST-NJL","44341","NOR409 - Ålborg Bugt","56°51'40 N","010°47'50 Ø",14.6,"1","1700 ml","Ja","11 m","0.50069444444444444","0.52916666666666667","0.52986111111111112","31.05.2021",8.8,"Ja","Ja","Plankton","ja","ja",NA
"74",NA,"MST-2021-030","PHELD/NICRA","Sif","MST-MJL","44342","Skive Fjord","56°37'25 N","009°04'55 Ø",5,"1","1600 ml","Nej","N/A","0.57291666666666663","0.58611111111111114","0.58750000000000002","31.05.2021",11.59,"Ja","Ja","Plankton","ja","ja",NA
"75",NA,"MST-2021-034","PHELD/NICRA","Sif","MST-MJL","44342","Skive Fjord","56°37'25 N","009°04'55 Ø",5,"1","1800 ml","Nej","N/A","0.57291666666666663","0.6020833333333333","0.60347222222222219","31.05.2021",11.59,"Ja","Ja","Plankton","ja","ja",NA
"76",NA,"MST2021-055","krmsk","sif","STO","14.09.2021","99000049","55°15'00 N","015°59'00 Ø",90.9,"1","1500","ja","24","09:27 utc","10:20 utc","10:21 utc","15.09.2021",16.93,"ja","ja","plankton","ja","ja",NA
"77",NA,"MST2021-056","krmsk","sif","STO","14.09.2021","99000049","55°15'00 N","015°59'00 Ø",90.9,"1","1650","ja","24","09:27 utc","10:34 utc","10:35 utc","15.09.2021",16.93,"ja","ja","plankton","ja","ja",NA
"78",NA,"MST2021-085","krmsk","sif","SJL","16.09.2021","93000001","56°07'83 N","011°09'38 Ø",43.9,"1","1700","ja","8.8000000000000007","07:54 utc","08:42 utc","0.36319444444444443","22.09.2021",17.32,"ja","ja","plankton","ja","ja",NA
"79",NA,"MST2021-086","krmsk","sif","SJL","16.09.2021","93000001","56°07'83 N","011°09'38 Ø",43.9,"1","1700","ja","8.8000000000000007","07:54 utc","08:56 utc","0.37291666666666662","22.09.2021",17.32,"ja","ja","plankton","ja","ja",NA
"80",NA,"MST-1038","Alkri","DAPHNE","MST-STORSTRØM","44300","BF Karrebæksminde Bugt","55°08'37 N","011°30'85 Ø",12.1,"11.1","1700 ml","Ja","3","05:09 UTC","0.24652777777777779","0.24791666666666667","16.04.2021",6.03,"ja","ja","Bundfauna",NA,NA,NA
"81",NA,"MST-1041","Alkri","DAPHNE","MST-STORSTRØM","44300","BF Karrebæksminde Bugt","55°08'37 N","011°30'85 Ø",12.1,"11.1","1700 ml","Ja","3","05:09 UTC","0.22638888888888889","0.22777777777777777","16.04.2021",6.03,"ja","ja","bundfauna",NA,NA,NA
"82",NA,"MST2021-043","alkri/nifso","Sif","MST SJL","44333","VSJ20925","56°07'900 N","011°09'481 Ø",48,"1","1500 ml","Ja","4","0.29930555555555555","0.31111111111111112","0.31319444444444444","20.05.2021",10.6,"Ja","Ja","Plankton","ja","ja","Der er kun en prøve til rådighed - prøve 2 er bortkommet."
"83",NA,"MST-1036","alkri/nifso","Sif","MST SJL","44333","VSJ20925","56°07'900 N","011°09'481 Ø",48,"1","1500 ml","Ja","4","0.29930555555555555","0.32777777777777778","0.3298611111111111","20.05.2021",10.6,"Ja","Ja","Plankton","ja","ja",NA
"84",NA,"MST2021-076","alkri","Sif","MST FYN","44441","DMU444","54°59'98 N","013°18'00 Ø",45.7,"1","1800 ml","Ja","42","12.49","0.55208333333333337","0.5541666666666667","08.09.2021",17.5,"Ja","Ja","Plankton","ja","ja",NA
"85",NA,"MST2021-067","alkri","Sif","MST FYN","44441","DMU444","54°59'98 N","013°18'00 Ø",45.7,"1","1800 ml","Ja","42","12.49","13.35","0.56736111111111109","08.09.2021",17.5,"Ja","Ja","Plankton","ja","ja",NA
"86",NA,"MST2021-029","alkri","Sif","MST SJL","44446","KBH431","55°51'70 N","012°44'98 Ø",50.1,"1","1800 ml","Ja","12","12.3","12.46","0.53333333333333333","15.09.2021",17.1,"Ja","Ja","Plankton","ja","ja",NA
